HIST1H4K,NA,HIST1H4K
RP11-315E23.1,NA,RP11-315E23.1
MEN1,NA,MEN1
RP11-301M17.3,NA,RP11-301M17.3
RP11-334A14.5,NA,RP11-334A14.5
RP11-430J3.1,NA,RP11-430J3.1
RP11-551G24.2,NA,RP11-551G24.2
AC068538.4,NA,AC068538.4
RP11-46O21.2,NA,RP11-46O21.2
COMMD8,NA,COMMD8
AC084058.1,NA,AC084058.1
RP11-65M17.3,NA,RP11-65M17.3
RP3-475B7.3,NA,RP3-475B7.3
FDPSP8,NA,FDPSP8
RNU1-22P,NA,RNU1-22P
Y_RNA,NA,Y_RNA
PROCA1,NA,PROCA1
RNU6-42,NA,RNU6-42
J01415.13,NA,J01415.13
RP11-627K11.1,NA,RP11-627K11.1
GBA2,NA,GBA2
PHKG1P4,NA,PHKG1P4
ZNF675,NA,ZNF675
RP11-267N12.1,NA,RP11-267N12.1
RP11-267N12.3,NA,RP11-267N12.3
PRR12,NA,PRR12
AC068858.1,NA,AC068858.1
ANO6,NA,ANO6
AC009452.1,NA,AC009452.1
RP11-751L19.1,NA,RP11-751L19.1
RP11-666G4.1,NA,RP11-666G4.1
KRT18P43,NA,KRT18P43
SLC25A6P1,NA,SLC25A6P1
EDNRB,NA,EDNRB
DUXAP5,NA,DUXAP5
RP11-51B10.2,NA,RP11-51B10.2
JAM3,NA,JAM3
AXL,NA,AXL
TECTB,NA,TECTB
RP11-1070A24.1,NA,RP11-1070A24.1
RP11-832A4.5,NA,RP11-832A4.5
AC006195.2,NA,AC006195.2
PHRF1,NA,PHRF1
RP5-857K21.4,NA,RP5-857K21.4
HMGB3P4,NA,HMGB3P4
GLYATL1,NA,GLYATL1
PSMD12,NA,PSMD12
AC027281.1,NA,AC027281.1
DUX4L5,NA,DUX4L5
LINC00459,NA,LINC00459
C9orf117,NA,C9orf117
ATXN3,NA,ATXN3
NAB2,NA,NAB2
IFNA20P,NA,IFNA20P
SMS,NA,SMS
AKAP10,NA,AKAP10
AC007403.3,NA,AC007403.3
RP11-535K1.1,NA,RP11-535K1.1
AC066692.1,NA,AC066692.1
RP11-325F22.4,NA,RP11-325F22.4
TSC1,NA,TSC1
