name	row_number	problem_type	problem_col	error_message
hz05a	0	value	criteria	This value: "None" is not found in: criterion column in criteria table
hz05a	1	value	criteria	This value: "ACCEPT" is not found in: criterion column in criteria table
hz05b	2	value	criteria	This value: "None" is not found in: criterion column in criteria table
hz05b	3	value	criteria	This value: "ACCEPT" is not found in: criterion column in criteria table
hz05c	4	value	criteria	This value: "None" is not found in: criterion column in criteria table
hz05c	5	value	criteria	This value: "ACCEPT" is not found in: criterion column in criteria table
hz05e	6	value	criteria	This value: "None" is not found in: criterion column in criteria table
hz05e	7	value	criteria	This value: "ACCEPT" is not found in: criterion column in criteria table
hz05f	8	value	criteria	This value: "None" is not found in: criterion column in criteria table
hz05f	9	value	criteria	This value: "ACCEPT" is not found in: criterion column in criteria table
hz05g	10	value	criteria	This value: "None" is not found in: criterion column in criteria table
hz05g	11	value	criteria	This value: "ACCEPT" is not found in: criterion column in criteria table
hz05h	12	value	criteria	This value: "None" is not found in: criterion column in criteria table
hz05h	12	value	specimens	This value: "None" is not found in: specimen column in specimens table
hz06a	13	value	criteria	This value: "None" is not found in: criterion column in criteria table
hz06a	14	value	criteria	This value: "ACCEPT" is not found in: criterion column in criteria table
hz06b	15	value	criteria	This value: "None" is not found in: criterion column in criteria table
hz06b	16	value	criteria	This value: "ACCEPT" is not found in: criterion column in criteria table
hz06c	17	value	criteria	This value: "None" is not found in: criterion column in criteria table
hz06c	18	value	criteria	This value: "ACCEPT" is not found in: criterion column in criteria table
hz07a	19	value	criteria	This value: "None" is not found in: criterion column in criteria table
hz07a	20	value	criteria	This value: "ACCEPT" is not found in: criterion column in criteria table
hz07b	21	value	criteria	This value: "None" is not found in: criterion column in criteria table
hz07b	22	value	criteria	This value: "ACCEPT" is not found in: criterion column in criteria table
hz07c	23	value	criteria	This value: "None" is not found in: criterion column in criteria table
hz07c	24	value	criteria	This value: "ACCEPT" is not found in: criterion column in criteria table
hz07d	25	value	criteria	This value: "None" is not found in: criterion column in criteria table
hz07d	26	value	criteria	This value: "ACCEPT" is not found in: criterion column in criteria table
hz07e	27	value	criteria	This value: "None" is not found in: criterion column in criteria table
hz07e	28	value	criteria	This value: "ACCEPT" is not found in: criterion column in criteria table
hz09a	29	value	criteria	This value: "None" is not found in: criterion column in criteria table
hz09a	30	value	criteria	This value: "ACCEPT" is not found in: criterion column in criteria table
hz09b	31	value	criteria	This value: "None" is not found in: criterion column in criteria table
hz09b	31	value	specimens	This value: "None" is not found in: specimen column in specimens table
hz10a	32	value	criteria	This value: "None" is not found in: criterion column in criteria table
hz10a	32	value	specimens	This value: "None" is not found in: specimen column in specimens table
hz10b	33	value	criteria	This value: "None" is not found in: criterion column in criteria table
hz10b	34	value	criteria	This value: "ACCEPT" is not found in: criterion column in criteria table
hz10c	35	value	criteria	This value: "None" is not found in: criterion column in criteria table
