#event,time,magnitude,magnitude error,upper limit,band,instrument,telescope
SN1998bu,2450947.59,12.000,0.05,F,U,,
SN1998bu,2450947.59,12.434,0.05,F,B,,
SN1998bu,2450947.59,12.183,0.05,F,V,,
SN1998bu,2450947.59,11.862,0.06,F,R,,
SN1998bu,2450947.59,11.696,0.07,F,I,,
SN1998bu,2450948.56,11.940,0.07,F,U,,
SN1998bu,2450948.56,12.353,0.08,F,B,,
SN1998bu,2450948.56,12.092,0.04,F,V,,
SN1998bu,2450948.56,11.807,0.05,F,R,,
SN1998bu,2450948.56,11.662,0.05,F,I,,
SN1998bu,2450949.55,11.947,0.19,F,U,,
SN1998bu,2450949.55,12.299,0.10,F,B,,
SN1998bu,2450949.55,12.024,0.05,F,V,,
SN1998bu,2450949.55,11.774,0.07,F,R,,
SN1998bu,2450949.55,11.667,0.07,F,I,,
SN1998bu,2450950.58,11.916,0.18,F,U,,
SN1998bu,2450950.58,12.241,0.07,F,B,,
SN1998bu,2450950.58,11.960,0.03,F,V,,
SN1998bu,2450950.58,11.747,0.07,F,R,,
SN1998bu,2450950.58,11.667,0.10,F,I,,
SN1998bu,2450951.55,11.908,0.22,F,U,,
SN1998bu,2450951.55,12.218,0.04,F,B,,
SN1998bu,2450951.55,11.926,0.03,F,V,,
SN1998bu,2450951.55,11.735,0.07,F,R,,
SN1998bu,2450951.55,11.689,0.06,F,I,,
SN1998bu,2450951.53,11.913,0.07,F,U,,
SN1998bu,2450951.53,12.207,0.04,F,B,,
SN1998bu,2450951.53,11.921,0.03,F,V,,
SN1998bu,2450951.53,11.729,0.05,F,R,,
SN1998bu,2450951.53,11.686,0.04,F,I,,
SN1998bu,2450953.48,11.973,0.16,F,U,,
SN1998bu,2450953.48,12.202,0.06,F,B,,
SN1998bu,2450953.48,11.880,0.04,F,V,,
SN1998bu,2450953.48,11.701,0.06,F,R,,
SN1998bu,2450953.48,11.718,0.06,F,I,,
SN1998bu,2450954.53,12.034,0.48,F,U,,
SN1998bu,2450954.53,12.232,0.19,F,B,,
SN1998bu,2450954.53,11.903,0.08,F,V,,
SN1998bu,2450954.53,11.716,0.29,F,R,,
SN1998bu,2450954.53,11.747,0.45,F,I,,
SN1998bu,2450957.52,11.815,0.15,F,I,,
SN1998bu,2450959.47,12.444,0.46,F,U,,
SN1998bu,2450959.47,12.450,0.16,F,B,,
SN1998bu,2450959.47,11.998,0.09,F,V,,
SN1998bu,2450959.47,11.855,0.17,F,R,,
SN1998bu,2450959.47,11.982,0.19,F,I,,
SN1998bu,2450960.46,12.542,0.30,F,U,,
SN1998bu,2450960.46,12.075,0.06,F,V,,
SN1998bu,2450960.46,11.959,0.15,F,R,,
SN1998bu,2450960.46,12.087,0.07,F,I,,
SN1998bu,2450964.45,12.950,0.24,F,U,,
SN1998bu,2450964.45,12.872,0.09,F,B,,
SN1998bu,2450964.45,12.323,0.06,F,V,,
SN1998bu,2450964.45,12.279,0.07,F,R,,
SN1998bu,2450964.45,12.349,0.17,F,I,,
SN1998bu,2450965.50,13.066,0.25,F,U,,
SN1998bu,2450965.50,12.972,0.11,F,B,,
SN1998bu,2450965.50,12.390,0.06,F,V,,
