#event,time,magnitude,magnitude error,upper limit,band,telescope,instrument
SN2012bz,56039.308,20.27,,T,uvw2,Swift,UVOT
SN2012bz,56039.313,20.3,0.55,F,uvw2,Swift,UVOT
SN2012bz,56039.373,20.5,0.19,F,uvw2,Swift,UVOT
SN2012bz,56066.505,24.05,,T,uvw2,Swift,UVOT
SN2012bz,56039.311,20.84,0.75,F,uvm2,Swift,UVOT
SN2012bz,56039.37,20.89,0.47,F,uvm2,Swift,UVOT
SN2012bz,56039.436,21.03,0.23,F,uvm2,Swift,UVOT
SN2012bz,56066.471,23.73,,T,uvm2,Swift,UVOT
SN2012bz,56039.311,20.56,,T,uvw1,Swift,UVOT
SN2012bz,56039.364,21.43,0.48,F,uvw1,Swift,UVOT
SN2012bz,56039.445,21.56,0.37,F,uvw1,Swift,UVOT
SN2012bz,56039.598,21.47,0.21,F,uvw1,Swift,UVOT
SN2012bz,56067.11,23.43,,T,uvw1,Swift,UVOT
SN2012bz,56039.305,21.06,0.51,F,u,Swift,UVOT
SN2012bz,56039.311,20.08,,T,u,Swift,UVOT
SN2012bz,56039.366,21.08,0.43,F,u,Swift,UVOT
SN2012bz,56039.53,21.47,0.27,F,u,Swift,UVOT
SN2012bz,56039.645,21.41,0.39,F,u,Swift,UVOT
SN2012bz,56042.104,22.94,,T,u,Swift,UVOT
SN2012bz,56051.997,23,0.17,F,u,Swift,UVOT
SN2012bz,56077.011,23.32,,T,u,Swift,UVOT
SN2012bz,56039.339,20.42,,T,b,Swift,UVOT
SN2012bz,56039.539,20.95,0.39,F,b,Swift,UVOT
SN2012bz,56040.652,21.07,,T,b,Swift,UVOT
SN2012bz,56061.463,21.54,0.36,F,b,Swift,UVOT
SN2012bz,56093.296,19.82,,T,b,Swift,UVOT
SN2012bz,56039.302,17.52,,T,v,Swift,UVOT
SN2012bz,56039.311,18.83,,T,v,Swift,UVOT
SN2012bz,56039.541,20.28,,T,v,Swift,UVOT
SN2012bz,56041.111,20.27,,T,v,Swift,UVOT
SN2012bz,56093.3,19.17,,T,v,Swift,UVOT
SN2012bz,56039.99,22.21,0.1,F,g',GROND,
SN2012bz,56040.015,22.12,0.05,F,g',GROND,
SN2012bz,56040.036,22.15,0.07,F,g',GROND,
SN2012bz,56040.04,22.22,0.06,F,g',Gemini,GMOS
SN2012bz,56040.057,22.11,0.08,F,g',GROND,
SN2012bz,56040.089,22.18,0.06,F,g',GROND,
SN2012bz,56040.173,22.14,0.1,F,g',P60,
SN2012bz,56041.067,22.59,0.1,F,g',GROND,
SN2012bz,56041.104,22.79,0.16,F,g',GROND,
SN2012bz,56043.239,22.86,0.06,F,g',Gemini,GMOS
SN2012bz,56048.018,22.38,0.1,F,g',GROND,
SN2012bz,56050.011,22.35,0.08,F,g',GROND,
SN2012bz,56053.969,22.14,0.11,F,g',GTC,Osiris
SN2012bz,56054.249,22.16,0.07,F,g',Gemini,GMOS
