event,time,magnitude,magnitude error,upper limit,band,instrument,telescope
SN2016coi,57537.07,15.554,0.012,F,g,,LCO (SAAO)
SN2016coi,57537.07,14.956,0.006,F,r,,LCO (SAAO)
SN2016coi,57537.07,15.258,0.010,F,i,,LCO (SAAO)
SN2016coi,57537.11,15.555,0.007,F,g,,LT
SN2016coi,57537.11,14.962,0.004,F,r,,LT
SN2016coi,57537.11,15.266,0.002,F,i,,LT
SN2016coi,57538.12,15.255,0.002,F,g,,LT
SN2016coi,57538.12,14.695,0.002,F,r,,LT
SN2016coi,57538.12,15.011,0.008,F,i,,LT
SN2016coi,57538.12,14.933,0.001,F,z,,LT
SN2016coi,57539.12,14.988,0.007,F,g,,LCO (SAAO)
SN2016coi,57539.12,14.479,0.009,F,r,,LCO (SAAO)
SN2016coi,57539.12,14.839,0.018,F,i,,LCO (SAAO)
SN2016coi,57539.83,15.869,0.013,F,u,,LJT
SN2016coi,57539.83,14.899,0.001,F,g,,LJT
SN2016coi,57539.83,14.383,0.001,F,r,,LJT
SN2016coi,57539.83,14.755,0.002,F,i,,LJT
SN2016coi,57539.83,14.591,0.001,F,z,,LJT
SN2016coi,57540.14,15.731,0.013,F,u,,LT
SN2016coi,57540.14,14.804,0.003,F,g,,LT
SN2016coi,57540.14,14.281,0.002,F,r,,LT
SN2016coi,57540.14,14.669,0.001,F,i,,LT
SN2016coi,57540.14,14.541,0.002,F,z,,LT
SN2016coi,57541.86,14.649,0.012,F,g,,LJT
SN2016coi,57541.86,14.152,0.004,F,r,,LJT
SN2016coi,57541.86,14.551,0.003,F,i,,LJT
SN2016coi,57541.86,14.342,0.010,F,z,,LJT
SN2016coi,57542.12,14.511,0.006,F,g,,LCO (SAAO)
SN2016coi,57542.12,14.028,0.002,F,r,,LCO (SAAO)
SN2016coi,57542.12,14.418,0.006,F,i,,LCO (SAAO)
SN2016coi,57542.16,15.633,0.005,F,u,,LT
SN2016coi,57542.16,14.511,0.001,F,g,,LT
SN2016coi,57542.16,14.028,0.001,F,r,,LT
SN2016coi,57542.16,14.421,0.001,F,i,,LT
SN2016coi,57542.16,14.250,0.001,F,z,,LT
SN2016coi,57544.50,14.235,0.005,F,g,,LCO (Haleakala)
SN2016coi,57544.50,13.814,0.002,F,r,,LCO (Haleakala)
SN2016coi,57544.50,14.206,0.003,F,i,,LCO (Haleakala)
