#event,time,magnitude,magnitude error,upper limit,band,instrument,telescope
SN2013df,2456456.9,15.57,0.08,F,UVW2,Swift,UVOT
SN2013df,2456459.35,16.32,0.08,F,UVW2,Swift,UVOT
SN2013df,2456460.17,16.35,0.08,F,UVW2,Swift,UVOT
SN2013df,2456461.75,16.67,0.09,F,UVW2,Swift,UVOT
SN2013df,2456462.82,16.73,0.1,F,UVW2,Swift,UVOT
SN2013df,2456463.82,16.81,0.09,F,UVW2,Swift,UVOT
SN2013df,2456466.19,16.82,0.09,F,UVW2,Swift,UVOT
SN2013df,2456467.97,16.91,0.09,F,UVW2,Swift,UVOT
SN2013df,2456469.56,17.08,0.09,F,UVW2,Swift,UVOT
SN2013df,2456474.29,17.25,0.09,F,UVW2,Swift,UVOT
SN2013df,2456475.91,17.49,0.09,F,UVW2,Swift,UVOT
SN2013df,2456478.13,17.68,0.11,F,UVW2,Swift,UVOT
SN2013df,2456479.76,17.7,0.1,F,UVW2,Swift,UVOT
SN2013df,2456481.76,17.76,0.1,F,UVW2,Swift,UVOT
SN2013df,2456484.25,18.18,0.14,F,UVW2,Swift,UVOT
SN2013df,2456486.33,17.97,0.13,F,UVW2,Swift,UVOT
SN2013df,2456487.64,17.84,0.11,F,UVW2,Swift,UVOT
SN2013df,2456489.75,18.2,0.17,F,UVW2,Swift,UVOT
SN2013df,2456496.68,18.29,0.11,F,UVW2,Swift,UVOT
SN2013df,2456501.03,18.25,0.17,F,UVW2,Swift,UVOT
SN2013df,2456504.73,18.23,0.1,F,UVW2,Swift,UVOT
SN2013df,2456509.43,18.83,0.39,F,UVW2,Swift,UVOT
SN2013df,2456511.01,18.49,0.11,F,UVW2,Swift,UVOT
SN2013df,2456456.9,15.21,0.06,F,UVM2,Swift,UVOT
SN2013df,2456459.35,16,0.07,F,UVM2,Swift,UVOT
SN2013df,2456460.17,16.1,0.07,F,UVM2,Swift,UVOT
SN2013df,2456463.82,16.58,0.07,F,UVM2,Swift,UVOT
SN2013df,2456466.19,16.45,0.08,F,UVM2,Swift,UVOT
SN2013df,2456467.97,16.63,0.09,F,UVM2,Swift,UVOT
SN2013df,2456469.56,16.81,0.08,F,UVM2,Swift,UVOT
SN2013df,2456474.29,16.99,0.08,F,UVM2,Swift,UVOT
SN2013df,2456475.91,17.15,0.09,F,UVM2,Swift,UVOT
SN2013df,2456478.13,17.39,0.09,F,UVM2,Swift,UVOT
SN2013df,2456479.76,17.54,0.09,F,UVM2,Swift,UVOT
SN2013df,2456481.76,17.43,0.09,F,UVM2,Swift,UVOT
SN2013df,2456484.25,17.72,0.14,F,UVM2,Swift,UVOT
SN2013df,2456486.33,17.73,0.12,F,UVM2,Swift,UVOT
SN2013df,2456487.64,17.67,0.11,F,UVM2,Swift,UVOT
SN2013df,2456489.75,17.73,0.14,F,UVM2,Swift,UVOT
SN2013df,2456496.68,18.11,0.09,F,UVM2,Swift,UVOT
SN2013df,2456501.03,18.01,0.15,F,UVM2,Swift,UVOT
SN2013df,2456504.73,18.28,0.1,F,UVM2,Swift,UVOT
SN2013df,2456509.43,18.68,0.32,F,UVM2,Swift,UVOT
SN2013df,2456511.01,18.24,0.09,F,UVM2,Swift,UVOT
SN2013df,2456456.9,14.77,0.06,F,UVW1,Swift,UVOT
SN2013df,2456459.35,15.5,0.07,F,UVW1,Swift,UVOT
SN2013df,2456460.17,15.37,0.07,F,UVW1,Swift,UVOT
SN2013df,2456463.82,15.72,0.07,F,UVW1,Swift,UVOT
SN2013df,2456466.19,15.79,0.07,F,UVW1,Swift,UVOT
SN2013df,2456467.97,15.76,0.07,F,UVW1,Swift,UVOT
SN2013df,2456469.56,15.95,0.07,F,UVW1,Swift,UVOT
SN2013df,2456474.29,16.15,0.07,F,UVW1,Swift,UVOT
SN2013df,2456475.91,16.43,0.07,F,UVW1,Swift,UVOT
SN2013df,2456478.13,16.44,0.08,F,UVW1,Swift,UVOT
SN2013df,2456479.76,16.6,0.08,F,UVW1,Swift,UVOT
SN2013df,2456481.76,16.81,0.09,F,UVW1,Swift,UVOT
SN2013df,2456484.25,17.01,0.09,F,UVW1,Swift,UVOT
SN2013df,2456486.33,16.96,0.1,F,UVW1,Swift,UVOT
