#event,time,magnitude,magnitude error,upper limit,band,instrument,telescope
SN1991T,2448364.46,11.73,,F,J,,2.3m Australian National Univ.
SN1991T,2448380.75,12.45,0.09,F,J,,2.3m Australian National Univ.
SN1991T,2448381.8,12.58,0.1,F,J,,2.3m Australian National Univ.
SN1991T,2448429.86,14.97,0.3,F,J,,2.3m Australian National Univ.
SN1991T,2448364.46,11.16,,F,H,,2.3m Australian National Univ.
SN1991T,2448380.75,12.44,0.1,F,H,,2.3m Australian National Univ.
SN1991T,2448381.8,12.29,0.1,F,H,,2.3m Australian National Univ.
SN1991T,2448429.86,13.72,0.14,F,H,,2.3m Australian National Univ.
SN1991T,2448364.46,10.93,,F,K,,2.3m Australian National Univ.
SN1991T,2448380.75,12.28,0.1,F,K,,2.3m Australian National Univ.
SN1991T,2448381.8,12.19,0.1,F,K,,2.3m Australian National Univ.
SN1991T,2448429.86,13.71,0.25,F,K,,2.3m Australian National Univ.
SN1991bg,2448606.05,13.49,0.03,F,J,,KPNO 1.3m + SQIID
SN1991bg,2448606.06,13.51,0.03,F,J,,KPNO 1.3m + SQIID
SN1991bg,2448607.05,13.59,0.04,F,J,,KPNO 1.3m + SQIID
SN1991bg,2448606.05,13.45,0.04,F,H,,KPNO 1.3m + SQIID
SN1991bg,2448606.06,13.44,0.03,F,H,,KPNO 1.3m + SQIID
SN1991bg,2448606.05,13.49,0.05,F,K,,KPNO 1.3m + SQIID
SN1991bg,2448606.06,13.41,0.05,F,K,,KPNO 1.3m + SQIID
SN1999ek,2451478.84,18.061,0.023,F,B,,CTIO 0.9m
SN1999ek,2451478.84,18.048,0.021,F,B,,CTIO 0.9m
SN1999ek,2451479.836,17.987,0.041,F,B,,CTIO 0.9m
SN1999ek,2451479.84,17.925,0.037,F,B,,CTIO 0.9m
SN1999ek,2451480.758,18.07,0.07,F,B,,CTIO 0.9m
SN1999ek,2451480.758,17.984,0.082,F,B,,CTIO 0.9m
SN1999ek,2451481.785,17.938,0.016,F,B,,CTIO 0.9m
SN1999ek,2451481.789,17.93,0.023,F,B,,CTIO 0.9m
SN1999ek,2451483.863,17.955,0.015,F,B,,CTIO 0.9m
SN1999ek,2451483.867,17.913,0.014,F,B,,CTIO 0.9m
SN1999ek,2451484.734,17.968,0.014,F,B,,CTIO 0.9m
SN1999ek,2451484.738,17.983,0.014,F,B,,CTIO 0.9m
SN1999ek,2451485.801,17.998,0.029,F,B,,CTIO 0.9m
SN1999ek,2451485.805,18.034,0.057,F,B,,CTIO 0.9m
SN1999ek,2451486.824,18.069,0.014,F,B,,CTIO 0.9m
SN1999ek,2451486.824,18.062,0.015,F,B,,CTIO 0.9m
SN1999ek,2451487.812,18.108,0.014,F,B,,CTIO 0.9m
SN1999ek,2451487.812,18.103,0.016,F,B,,CTIO 0.9m
SN1999ek,2451488.813,18.182,0.014,F,B,,CTIO 0.9m
SN1999ek,2451489.762,18.289,0.019,F,B,,CTIO 0.9m
SN1999ek,2451489.766,18.258,0.018,F,B,,CTIO 0.9m
SN1999ek,2451490.844,18.358,0.014,F,B,,CTIO 0.9m
SN1999ek,2451490.848,18.374,0.017,F,B,,CTIO 0.9m
SN1999ek,2451492.859,18.552,0.018,F,B,,CTIO 0.9m
SN1999ek,2451492.871,18.541,0.051,F,B,,CTIO 0.9m
SN1999ek,2451493.812,18.668,0.016,F,B,,CTIO 0.9m
SN1999ek,2451493.828,18.672,0.017,F,B,,CTIO 0.9m
SN1999ek,2451501.848,19.654,0.026,F,B,,CTIO 0.9m
SN1999ek,2451501.852,19.671,0.031,F,B,,CTIO 0.9m
SN1999ek,2451503.695,20.384,0.208,F,B,,CTIO 0.9m
SN1999ek,2451504.707,20.057,0.176,F,B,,CTIO 0.9m
SN1999ek,2451506.778,20.308,0.206,F,B,,CTIO 0.9m
SN1999ek,2451508.836,20.312,0.134,F,B,,CTIO 0.9m
SN1999ek,2451478.84,17.401,0.018,F,V,,CTIO 0.9m
SN1999ek,2451478.84,17.378,0.016,F,V,,CTIO 0.9m
SN1999ek,2451479.836,17.362,0.035,F,V,,CTIO 0.9m
SN1999ek,2451479.84,17.351,0.036,F,V,,CTIO 0.9m
SN1999ek,2451480.758,17.324,0.058,F,V,,CTIO 0.9m
SN1999ek,2451480.758,17.339,0.06,F,V,,CTIO 0.9m
SN1999ek,2451481.785,17.25,0.015,F,V,,CTIO 0.9m
SN1999ek,2451481.789,17.278,0.015,F,V,,CTIO 0.9m
SN1999ek,2451483.863,17.25,0.015,F,V,,CTIO 0.9m
SN1999ek,2451483.867,17.24,0.015,F,V,,CTIO 0.9m
SN1999ek,2451484.734,17.243,0.015,F,V,,CTIO 0.9m
SN1999ek,2451484.738,17.268,0.015,F,V,,CTIO 0.9m
SN1999ek,2451485.801,17.3,0.043,F,V,,CTIO 0.9m
SN1999ek,2451485.805,17.291,0.023,F,V,,CTIO 0.9m
SN1999ek,2451486.824,17.275,0.015,F,V,,CTIO 0.9m
SN1999ek,2451486.824,17.284,0.015,F,V,,CTIO 0.9m
SN1999ek,2451487.812,17.325,0.015,F,V,,CTIO 0.9m
SN1999ek,2451487.812,17.317,0.015,F,V,,CTIO 0.9m
SN1999ek,2451488.813,17.364,0.015,F,V,,CTIO 0.9m
SN1999ek,2451489.762,17.394,0.021,F,V,,CTIO 0.9m
SN1999ek,2451489.766,17.41,0.019,F,V,,CTIO 0.9m
SN1999ek,2451490.844,17.455,0.015,F,V,,CTIO 0.9m
SN1999ek,2451490.848,17.468,0.015,F,V,,CTIO 0.9m
SN1999ek,2451492.859,17.583,0.015,F,V,,CTIO 0.9m
SN1999ek,2451492.871,17.562,0.024,F,V,,CTIO 0.9m
SN1999ek,2451493.812,17.647,0.015,F,V,,CTIO 0.9m
SN1999ek,2451493.828,17.654,0.015,F,V,,CTIO 0.9m
SN1999ek,2451501.848,18.116,0.016,F,V,,CTIO 0.9m
SN1999ek,2451501.852,18.131,0.018,F,V,,CTIO 0.9m
SN1999ek,2451503.695,18.3,0.022,F,V,,CTIO 0.9m
SN1999ek,2451504.707,18.248,0.025,F,V,,CTIO 0.9m
SN1999ek,2451508.836,18.518,0.027,F,V,,CTIO 0.9m
SN1999ek,2451478.84,16.901,0.015,F,R,,CTIO 0.9m
SN1999ek,2451478.84,16.883,0.015,F,R,,CTIO 0.9m
SN1999ek,2451479.836,16.778,0.023,F,R,,CTIO 0.9m
SN1999ek,2451479.84,16.77,0.024,F,R,,CTIO 0.9m
SN1999ek,2451480.758,16.76,0.055,F,R,,CTIO 0.9m
SN1999ek,2451480.758,16.856,0.058,F,R,,CTIO 0.9m
SN1999ek,2451481.785,16.807,0.015,F,R,,CTIO 0.9m
SN1999ek,2451481.789,16.82,0.015,F,R,,CTIO 0.9m
SN1999ek,2451483.863,16.817,0.015,F,R,,CTIO 0.9m
SN1999ek,2451483.867,16.824,0.015,F,R,,CTIO 0.9m
SN1999ek,2451484.734,16.834,0.015,F,R,,CTIO 0.9m
SN1999ek,2451484.738,16.85,0.015,F,R,,CTIO 0.9m
SN1999ek,2451485.805,16.816,0.015,F,R,,CTIO 0.9m
SN1999ek,2451486.824,16.875,0.015,F,R,,CTIO 0.9m
SN1999ek,2451486.824,16.87,0.015,F,R,,CTIO 0.9m
SN1999ek,2451487.812,16.902,0.015,F,R,,CTIO 0.9m
SN1999ek,2451487.812,16.901,0.015,F,R,,CTIO 0.9m
SN1999ek,2451488.813,16.978,0.015,F,R,,CTIO 0.9m
SN1999ek,2451489.762,17.032,0.02,F,R,,CTIO 0.9m
SN1999ek,2451489.766,17.044,0.016,F,R,,CTIO 0.9m
SN1999ek,2451490.844,17.128,0.015,F,R,,CTIO 0.9m
SN1999ek,2451490.848,17.138,0.017,F,R,,CTIO 0.9m
SN1999ek,2451492.859,17.301,0.015,F,R,,CTIO 0.9m
SN1999ek,2451492.871,17.298,0.029,F,R,,CTIO 0.9m
SN1999ek,2451493.812,17.354,0.015,F,R,,CTIO 0.9m
SN1999ek,2451493.828,17.35,0.015,F,R,,CTIO 0.9m
SN1999ek,2451501.848,17.547,0.016,F,R,,CTIO 0.9m
SN1999ek,2451501.852,17.526,0.015,F,R,,CTIO 0.9m
SN1999ek,2451503.695,17.663,0.016,F,R,,CTIO 0.9m
SN1999ek,2451504.707,17.614,0.017,F,R,,CTIO 0.9m
SN1999ek,2451508.836,17.722,0.018,F,R,,CTIO 0.9m
SN1999ek,2451478.84,16.557,0.016,F,I,,CTIO 0.9m
SN1999ek,2451478.84,16.569,0.015,F,I,,CTIO 0.9m
SN1999ek,2451479.836,16.479,0.027,F,I,,CTIO 0.9m
SN1999ek,2451479.84,16.52,0.032,F,I,,CTIO 0.9m
SN1999ek,2451480.758,16.574,0.079,F,I,,CTIO 0.9m
SN1999ek,2451480.758,16.573,0.072,F,I,,CTIO 0.9m
SN1999ek,2451481.785,16.574,0.015,F,I,,CTIO 0.9m
SN1999ek,2451481.789,16.58,0.015,F,I,,CTIO 0.9m
SN1999ek,2451483.863,16.675,0.016,F,I,,CTIO 0.9m
SN1999ek,2451483.867,16.681,0.015,F,I,,CTIO 0.9m
SN1999ek,2451484.734,16.705,0.015,F,I,,CTIO 0.9m
SN1999ek,2451484.738,16.699,0.015,F,I,,CTIO 0.9m
SN1999ek,2451485.801,16.751,0.016,F,I,,CTIO 0.9m
SN1999ek,2451485.805,16.795,0.023,F,I,,CTIO 0.9m
SN1999ek,2451486.824,16.788,0.015,F,I,,CTIO 0.9m
SN1999ek,2451486.824,16.765,0.015,F,I,,CTIO 0.9m
SN1999ek,2451487.812,16.851,0.016,F,I,,CTIO 0.9m
SN1999ek,2451487.812,16.814,0.017,F,I,,CTIO 0.9m
SN1999ek,2451488.813,16.917,0.015,F,I,,CTIO 0.9m
SN1999ek,2451489.762,16.961,0.024,F,I,,CTIO 0.9m
SN1999ek,2451489.766,16.966,0.024,F,I,,CTIO 0.9m
SN1999ek,2451490.844,17.096,0.023,F,I,,CTIO 0.9m
SN1999ek,2451490.848,17.058,0.019,F,I,,CTIO 0.9m
SN1999ek,2451492.859,17.223,0.018,F,I,,CTIO 0.9m
SN1999ek,2451492.871,17.222,0.023,F,I,,CTIO 0.9m
SN1999ek,2451493.812,17.287,0.018,F,I,,CTIO 0.9m
SN1999ek,2451493.828,17.23,0.018,F,I,,CTIO 0.9m
SN1999ek,2451501.848,17.175,0.016,F,I,,CTIO 0.9m
SN1999ek,2451501.852,17.162,0.017,F,I,,CTIO 0.9m
SN1999ek,2451504.707,17.065,0.016,F,I,,CTIO 0.9m
SN1999ek,2451508.836,17.075,0.015,F,I,,CTIO 0.9m
SN1999ek,2451477.67,16.15,0.039,F,J,,Steward Observatory 2.3m
SN1999ek,2451477.8,16.124,0.02,F,J,,LCO 2.5m
SN1999ek,2451478.69,16.097,0.05,F,J,,Steward Observatory 2.3m
SN1999ek,2451481.82,16.209,0.019,F,J,,LCO 2.5m
SN1999ek,2451483.78,16.415,0.023,F,J,,LCO 1.0m
SN1999ek,2451484.81,16.436,0.024,F,J,,LCO 1.0m
SN1999ek,2451485.78,16.539,0.024,F,J,,LCO 1.0m
SN1999ek,2451486.82,16.908,0.068,F,J,,LCO 1.0m
SN1999ek,2451487.79,16.778,0.023,F,J,,LCO 1.0m
SN1999ek,2451488.8,16.935,0.022,F,J,,LCO 1.0m
SN1999ek,2451489.84,17.134,0.023,F,J,,LCO 1.0m
SN1999ek,2451497.66,17.819,0.081,F,J,,Steward Observatory 2.3m
SN1999ek,2451503.64,17.563,0.065,F,J,,Steward Observatory 2.3m
SN1999ek,2451504.67,17.441,0.088,F,J,,Steward Observatory 2.3m
SN1999ek,2451473.99,16.414,0.115,F,H,,FLWO 1.2m
SN1999ek,2451477.67,16.079,0.04,F,H,,Steward Observatory 2.3m
SN1999ek,2451477.8,16.281,0.018,F,H,,LCO 2.5m
SN1999ek,2451478.69,16.136,0.05,F,H,,Steward Observatory 2.3m
SN1999ek,2451481.82,16.331,0.02,F,H,,LCO 2.5m
SN1999ek,2451483.78,16.464,0.038,F,H,,LCO 1.0m
SN1999ek,2451484.81,16.485,0.024,F,H,,LCO 1.0m
SN1999ek,2451485.78,16.405,0.163,F,H,,LCO 1.0m
SN1999ek,2451486.82,16.676,0.135,F,H,,LCO 1.0m
