#event,time,magnitude,magnitude error,upper limit,band,xxxxxx,telescope,instrument
SN2012au,56001.74,15.91,0.06,F,UVM2,,Swift,UVOT
SN2012au,56004.75,16.00,0.07,F,UVM2,,Swift,UVOT
SN2012au,56005.95,15.95,0.09,F,UVM2,,Swift,UVOT
SN2012au,56006.80,16.09,0.07,F,UVM2,,Swift,UVOT
SN2012au,56007.79,16.06,0.07,F,UVM2,,Swift,UVOT
SN2012au,56011.76,16.32,0.07,F,UVM2,,Swift,UVOT
SN2012au,56020.18,16.57,0.07,F,UVM2,,Swift,UVOT
SN2012au,56001.74,15.74,0.07,F,UVW2,,Swift,UVOT
SN2012au,56004.75,15.87,0.07,F,UVW2,,Swift,UVOT
SN2012au,56005.95,15.91,0.08,F,UVW2,,Swift,UVOT
SN2012au,56006.80,15.95,0.07,F,UVW2,,Swift,UVOT
SN2012au,56007.79,15.99,0.07,F,UVW2,,Swift,UVOT
SN2012au,56011.76,16.24,0.08,F,UVW2,,Swift,UVOT
SN2012au,56020.18,16.55,0.08,F,UVW2,,Swift,UVOT
SN2012au,56001.74,14.72,0.06,F,UVW1,,Swift,UVOT
SN2012au,56004.75,14.87,0.06,F,UVW1,,Swift,UVOT
SN2012au,56005.95,15.02,0.07,F,UVW1,,Swift,UVOT
SN2012au,56006.80,15.02,0.06,F,UVW1,,Swift,UVOT
SN2012au,56007.79,15.13,0.06,F,UVW1,,Swift,UVOT
SN2012au,56011.76,15.59,0.06,F,UVW1,,Swift,UVOT
SN2012au,56020.18,16.14,0.06,F,UVW1,,Swift,UVOT
SN2012au,56001.74,13.52,0.05,F,U,,Swift,UVOT
SN2012au,56004.75,13.59,0.05,F,U,,Swift,UVOT
SN2012au,56005.95,13.65,0.05,F,U,,Swift,UVOT
SN2012au,56006.80,13.78,0.05,F,U,,Swift,UVOT
SN2012au,56007.79,13.88,0.05,F,U,,Swift,UVOT
SN2012au,56011.76,14.39,0.05,F,U,,Swift,UVOT
SN2012au,56020.18,15.46,0.06,F,U,,Swift,UVOT
SN2012au,56001.74,14.11,0.04,F,B,,Swift,UVOT
SN2012au,56004.75,14.03,0.04,F,B,,Swift,UVOT
SN2012au,56005.95,14.02,0.05,F,B,,Swift,UVOT
SN2012au,56006.80,14.05,0.04,F,B,,Swift,UVOT
SN2012au,56007.79,14.09,0.04,F,B,,Swift,UVOT
SN2012au,56011.76,14.38,0.05,F,B,,Swift,UVOT
SN2012au,56020.18,15.16,0.05,F,B,,Swift,UVOT
SN2012au,56001.74,13.67,0.04,F,V,,Swift,UVOT
SN2012au,56004.75,13.56,0.04,F,V,,Swift,UVOT
SN2012au,56005.95,13.51,0.05,F,V,,Swift,UVOT
SN2012au,56006.80,13.54,0.04,F,V,,Swift,UVOT
SN2012au,56007.79,13.51,0.04,F,V,,Swift,UVOT
SN2012au,56011.76,13.61,0.04,F,V,,Swift,UVOT
SN2012au,56020.18,14.15,0.04,F,V,,Swift,UVOT
SN2012au,56026.48,16.50,0.07,F,UVM2,,Swift,UVOT
SN2012au,56026.48,16.47,0.08,F,UVW2,,Swift,UVOT
SN2012au,56026.48,15.78,0.06,F,U,,Swift,UVOT
SN2012au,56026.48,15.57,0.05,F,B,,Swift,UVOT
SN2012au,56026.48,14.61,0.05,F,V,,Swift,UVOT
SN2012au,56029.61,16.57,0.07,F,UVM2,,Swift,UVOT
SN2012au,56033.62,16.59,0.07,F,UVM2,,Swift,UVOT
SN2012au,56035.60,16.55,0.07,F,UVM2,,Swift,UVOT
SN2012au,56038.46,16.64,0.07,F,UVM2,,Swift,UVOT
SN2012au,56029.61,16.56,0.08,F,UVW2,,Swift,UVOT
SN2012au,56033.62,16.62,0.08,F,UVW2,,Swift,UVOT
SN2012au,56035.60,16.45,0.08,F,UVW2,,Swift,UVOT
SN2012au,56038.46,16.56,0.08,F,UVW2,,Swift,UVOT
SN2012au,56029.61,16.45,0.07,F,UVW1,,Swift,UVOT
SN2012au,56033.62,16.42,0.07,F,UVW1,,Swift,UVOT
SN2012au,56035.60,16.32,0.07,F,UVW1,,Swift,UVOT
SN2012au,56038.46,16.41,0.07,F,UVW1,,Swift,UVOT
SN2012au,56029.61,15.81,0.06,F,U,,Swift,UVOT
SN2012au,56033.62,15.95,0.06,F,U,,Swift,UVOT
SN2012au,56035.60,15.95,0.06,F,U,,Swift,UVOT
SN2012au,56038.46,15.95,0.06,F,U,,Swift,UVOT
SN2012au,56029.61,15.66,0.05,F,B,,Swift,UVOT
SN2012au,56033.62,15.76,0.05,F,B,,Swift,UVOT
SN2012au,56035.60,15.85,0.05,F,B,,Swift,UVOT
SN2012au,56038.46,15.86,0.05,F,B,,Swift,UVOT
SN2012au,56029.61,14.63,0.04,F,V,,Swift,UVOT
SN2012au,56033.62,14.73,0.04,F,V,,Swift,UVOT
SN2012au,56035.60,14.84,0.05,F,V,,Swift,UVOT
SN2012au,56038.46,14.88,0.05,F,V,,Swift,UVOT
SN2012au,56315.43,16.95,0.10,F,r,,MDM,OSMOS
SN2012au,56341.52,17.94,0.13,F,r,,MMT,MMTcam
