event,mjd,magnitude,e_magnitude,upper limit,band,instrument,telescope
SN2015bh,57076.491,19.65,0.005,,B,SCORPIO,BTA
SN2015bh,57076.491,19.26,0.005,,V,SCORPIO,BTA
SN2015bh,57076.491,18.71,0.004,,R,SCORPIO,BTA
SN2015bh,57076.491,18.60,0.005,,I,SCORPIO,BTA
SN2015bh,57078.373,19.58,0.008,,B,SCORPIO,BTA
SN2015bh,57078.373,19.19,0.005,,V,SCORPIO,BTA
SN2015bh,57078.373,18.576,0.04,,R,SCORPIO,BTA
SN2015bh,57078.373,18.44,0.005,,I,SCORPIO,BTA
SN2015bh,57100.284,19.372,0.05,,B,EEV 42-40,SAO RAS 1m
SN2015bh,57100.284,18.841,0.03,,V,EEV 42-40,SAO RAS 1m
SN2015bh,57100.284,18.446,0.02,,R,EEV 42-40,SAO RAS 1m
SN2015bh,57164.255,15.579,0.04,,B,EEV 42-40,SAO RAS 1m
SN2015bh,57164.255,15.376,0.02,,V,EEV 42-40,SAO RAS 1m
SN2015bh,57164.255,15.214,0.02,,R,EEV 42-40,SAO RAS 1m
SN2015bh,57164.255,15.167,0.04,,I,EEV 42-40,SAO RAS 1m
SN2015bh,57164.266,15.581,0.04,,B,EEV 42-40,SAO RAS 1m
SN2015bh,57164.266,15.368,0.02,,V,EEV 42-40,SAO RAS 1m
SN2015bh,57164.266,15.214,0.02,,R,EEV 42-40,SAO RAS 1m
SN2015bh,57165.248,15.566,0.04,,B,EEV 42-40,SAO RAS 1m
SN2015bh,57165.248,15.347,0.02,,V,EEV 42-40,SAO RAS 1m
SN2015bh,57165.248,15.205,0.02,,R,EEV 42-40,SAO RAS 1m
SN2015bh,57165.248,15.101,0.04,,I,EEV 42-40,SAO RAS 1m
SN2015bh,57165.248,14.75,0.003,,U,EEV 42-40,SAO RAS 1m
SN2015bh,57165.338,15.54,0.005,,B,VersArray,Zeiss 0.6m
SN2015bh,57165.338,15.35 ,0.003,,V,VersArray,Zeiss 0.6m
SN2015bh,57165.338,15.18,0.004,,R,VersArray,Zeiss 0.6m
SN2015bh,57166.320,15.272,0.02,,V,EEV 42-40,SAO RAS 1m
SN2015bh,57166.320,15.136,0.02,,R,EEV 42-40,SAO RAS 1m
SN2015bh,57167.28,15.572,0.06,,B,VersArray,Zeiss 0.6m
