#event,time,magnitude,magnitude error,upper limit,band,instrument,telescope
PTF11iqb,55765.4,16.862,0.036,F,R,,Palomar 48
PTF11iqb,55765.4,16.834,0.039,F,R,,Palomar 48
PTF11iqb,55766.4,16.135,0.049,F,R,,Palomar 48
PTF11iqb,55766.4,16.073,0.05,F,R,,Palomar 48
PTF11iqb,55768.4,15.608,0.027,F,R,,Palomar 48
PTF11iqb,55768.4,15.603,0.05,F,R,,Palomar 48
PTF11iqb,55769.4,15.462,0.047,F,R,,Palomar 48
PTF11iqb,55769.4,15.458,0.05,F,R,,Palomar 48
PTF11iqb,55770.4,15.37,0.04,F,R,,Palomar 48
PTF11iqb,55770.4,15.323,0.057,F,R,,Palomar 48
PTF11iqb,55771.4,15.291,0.047,F,R,,Palomar 48
PTF11iqb,55771.4,15.265,0.057,F,R,,Palomar 48
PTF11iqb,55774.3,15.218,0.048,F,R,,Palomar 48
PTF11iqb,55774.4,15.194,0.054,F,R,,Palomar 48
PTF11iqb,55775.5,15.147,0.072,F,R,,Palomar 48
PTF11iqb,55779.4,15.194,0.05,F,R,,Palomar 48
PTF11iqb,55779.5,15.178,0.056,F,R,,Palomar 48
PTF11iqb,55780.4,15.169,0.054,F,R,,Palomar 48
PTF11iqb,55780.5,15.18,0.069,F,R,,Palomar 48
PTF11iqb,55782.4,15.204,0.06,F,R,,Palomar 48
PTF11iqb,55782.4,15.193,0.076,F,R,,Palomar 48
PTF11iqb,55783.3,15.247,0.025,F,R,,Palomar 48
PTF11iqb,55783.4,15.258,0.034,F,R,,Palomar 48
PTF11iqb,55784.3,15.274,0.028,F,R,,Palomar 48
PTF11iqb,55784.4,15.274,0.051,F,R,,Palomar 48
PTF11iqb,55793.3,15.482,0.041,F,R,,Palomar 48
PTF11iqb,55794.3,15.486,0.043,F,R,,Palomar 48
PTF11iqb,55811.3,15.789,0.047,F,R,,Palomar 48
PTF11iqb,55811.3,15.776,0.056,F,R,,Palomar 48
PTF11iqb,55812.2,15.779,0.044,F,R,,Palomar 48
PTF11iqb,55813.3,15.822,0.049,F,R,,Palomar 48
PTF11iqb,55813.4,15.807,0.055,F,R,,Palomar 48
PTF11iqb,55821.2,15.909,0.052,F,R,,Palomar 48
PTF11iqb,55821.3,15.899,0.058,F,R,,Palomar 48
PTF11iqb,55822.2,15.921,0.046,F,R,,Palomar 48
PTF11iqb,55822.3,15.923,0.062,F,R,,Palomar 48
PTF11iqb,55823.2,15.921,0.049,F,R,,Palomar 48
PTF11iqb,55823.3,15.908,0.062,F,R,,Palomar 48
PTF11iqb,55824.3,15.939,0.055,F,R,,Palomar 48
PTF11iqb,55824.3,15.897,0.07,F,R,,Palomar 48
PTF11iqb,55838.2,16.054,0.05,F,R,,Palomar 48
PTF11iqb,55842.3,16.082,0.039,F,R,,Palomar 48
PTF11iqb,55842.3,16.085,0.033,F,R,,Palomar 48
PTF11iqb,55850.2,16.137,0.051,F,R,,Palomar 48
PTF11iqb,55850.2,16.134,0.055,F,R,,Palomar 48
PTF11iqb,55851.2,16.154,0.053,F,R,,Palomar 48
PTF11iqb,55851.2,16.16,0.049,F,R,,Palomar 48
PTF11iqb,55852.2,16.144,0.067,F,R,,Palomar 48
PTF11iqb,55852.3,16.159,0.072,F,R,,Palomar 48
PTF11iqb,55853.2,16.169,0.066,F,R,,Palomar 48
PTF11iqb,55853.3,16.186,0.059,F,R,,Palomar 48
PTF11iqb,55854.2,16.131,0.064,F,R,,Palomar 48
PTF11iqb,55854.3,16.137,0.072,F,R,,Palomar 48
PTF11iqb,55766.449,16.134,0.004,F,R,,Palomar 60
PTF11iqb,55770.355,15.347,0.004,F,R,,Palomar 60
PTF11iqb,55774.344,15.23,0.004,F,R,,Palomar 60
PTF11iqb,55776.338,15.236,0.004,F,R,,Palomar 60
PTF11iqb,55776.34,15.217,0.004,F,R,,Palomar 60
PTF11iqb,55778.331,15.374,0.004,F,R,,Palomar 60
PTF11iqb,55778.334,15.255,0.004,F,R,,Palomar 60
PTF11iqb,55780.33,15.396,0.003,F,R,,Palomar 60
PTF11iqb,55782.321,15.357,0.004,F,R,,Palomar 60
PTF11iqb,55782.323,15.306,0.004,F,R,,Palomar 60
PTF11iqb,55792.482,15.417,0.004,F,R,,Palomar 60
PTF11iqb,55794.3,15.557,0.004,F,R,,Palomar 60
PTF11iqb,55794.3,15.704,0.004,F,R,,Palomar 60
PTF11iqb,55796.282,15.633,0.004,F,R,,Palomar 60
PTF11iqb,55798.3,15.839,0.004,F,R,,Palomar 60
PTF11iqb,55800.373,15.593,0.004,F,R,,Palomar 60
PTF11iqb,55801.4,15.779,0.005,F,R,,Palomar 60
PTF11iqb,55802.3,15.616,0.004,F,R,,Palomar 60
PTF11iqb,55803.264,15.821,0.004,F,R,,Palomar 60
PTF11iqb,55804.261,15.936,0.004,F,R,,Palomar 60
PTF11iqb,55805.259,15.815,0.004,F,R,,Palomar 60
PTF11iqb,55806.256,15.842,0.005,F,R,,Palomar 60
PTF11iqb,55808.251,15.888,0.054,F,R,,Palomar 60
PTF11iqb,55809.4,15.807,0.005,F,R,,Palomar 60
PTF11iqb,55811.244,15.904,0.005,F,R,,Palomar 60
PTF11iqb,55812.239,15.965,0.005,F,R,,Palomar 60
PTF11iqb,55813.2,15.881,0.006,F,R,,Palomar 60
PTF11iqb,55814.233,15.725,0.007,F,R,,Palomar 60
PTF11iqb,55820.257,16.005,0.006,F,R,,Palomar 60
PTF11iqb,55821.216,15.887,0.006,F,R,,Palomar 60
PTF11iqb,55827.229,16.107,0.005,F,R,,Palomar 60
PTF11iqb,55828.223,16.06,0.005,F,R,,Palomar 60
PTF11iqb,55829.2,16.036,0.006,F,R,,Palomar 60
PTF11iqb,55830.2,16.265,0.006,F,R,,Palomar 60
PTF11iqb,55831.188,16.278,0.158,F,R,,Palomar 60
PTF11iqb,55832.211,16.165,0.006,F,R,,Palomar 60
PTF11iqb,55833.2,16.08,0.006,F,R,,Palomar 60
PTF11iqb,55834.179,16.122,0.006,F,R,,Palomar 60
PTF11iqb,55835.177,16.076,0.005,F,R,,Palomar 60
PTF11iqb,55837.3,16.425,0.005,F,R,,Palomar 60
PTF11iqb,55838.168,16.551,0.007,F,R,,Palomar 60
PTF11iqb,55848.141,16.31,0.008,F,R,,Palomar 60
PTF11iqb,55849.137,16.219,0.008,F,R,,Palomar 60
PTF11iqb,55850.139,16.21,0.006,F,R,,Palomar 60
PTF11iqb,55851.133,16.135,0.006,F,R,,Palomar 60
PTF11iqb,55852.129,16.176,0.006,F,R,,Palomar 60
PTF11iqb,55852.2,16.208,0.005,F,R,,Palomar 60
PTF11iqb,55853.13,16.323,0.006,F,R,,Palomar 60
PTF11iqb,55854.129,16.33,0.006,F,R,,Palomar 60
PTF11iqb,55856.1,16.324,0.006,F,R,,Palomar 60
PTF11iqb,55857.1,16.269,0.006,F,R,,Palomar 60
PTF11iqb,55858.1,16.154,0.006,F,R,,Palomar 60
PTF11iqb,55862.113,16.555,0.007,F,R,,Palomar 60
PTF11iqb,55863.111,16.481,0.007,F,R,,Palomar 60
PTF11iqb,55864.1,16.401,0.007,F,R,,Palomar 60
PTF11iqb,55866.11,16.422,0.007,F,R,,Palomar 60
PTF11iqb,55867.1,16.467,0.009,F,R,,Palomar 60
PTF11iqb,55868.105,16.693,0.008,F,R,,Palomar 60
PTF11iqb,55869.1,16.509,0.012,F,R,,Palomar 60
PTF11iqb,55874.297,16.533,0.014,F,R,,Palomar 60
PTF11iqb,55884.1,16.892,0.012,F,R,,Palomar 60
PTF11iqb,55889.112,17.194,0.01,F,R,,Palomar 60
PTF11iqb,55891.296,17.411,0.016,F,R,,Palomar 60
PTF11iqb,55893.157,17.576,0.016,F,R,,Palomar 60
PTF11iqb,55902.247,17.524,0.024,F,R,,Palomar 60
PTF11iqb,55903.112,17.927,0.017,F,R,,Palomar 60
PTF11iqb,55906.276,17.595,0.02,F,R,,Palomar 60
PTF11iqb,55916.133,17.537,0.016,F,R,,Palomar 60
PTF11iqb,56296.1,20.647,0.332,F,R,,Palomar 60
PTF11iqb,56297.14,20.617,0.131,F,R,,Palomar 60
PTF11iqb,56298.115,20.723,0.109,F,R,,Palomar 60
PTF11iqb,56301.084,20.673,0.111,F,R,,Palomar 60
PTF11iqb,56302.107,21.423,1.151,F,R,,Palomar 60
PTF11iqb,56324.1,20.66,0.211,F,R,,Palomar 60
PTF11iqb,56328.115,21.129,0.165,F,R,,Palomar 60
PTF11iqb,56330.112,21.142,0.173,F,R,,Palomar 60
PTF11iqb,55768.358,15.948,0.076,F,I,,Palomar 60
PTF11iqb,55774.343,15.445,0.035,F,I,,Palomar 60
PTF11iqb,55776.337,15.46,0.069,F,I,,Palomar 60
PTF11iqb,55776.339,15.464,0.053,F,I,,Palomar 60
PTF11iqb,55778.33,15.486,0.107,F,I,,Palomar 60
PTF11iqb,55778.333,15.441,0.067,F,I,,Palomar 60
PTF11iqb,55782.32,15.46,0.063,F,I,,Palomar 60
PTF11iqb,55782.322,15.473,0.097,F,I,,Palomar 60
PTF11iqb,55792.481,15.72,0.097,F,I,,Palomar 60
PTF11iqb,55796.281,15.763,0.049,F,I,,Palomar 60
PTF11iqb,55800.372,15.825,0.046,F,I,,Palomar 60
PTF11iqb,55803.263,15.948,0.04,F,I,,Palomar 60
PTF11iqb,55804.26,15.932,0.07,F,I,,Palomar 60
PTF11iqb,55805.258,15.986,0.084,F,I,,Palomar 60
PTF11iqb,55807.254,15.935,0.049,F,I,,Palomar 60
PTF11iqb,55808.25,16.033,0.066,F,I,,Palomar 60
PTF11iqb,55811.243,16.005,0.058,F,I,,Palomar 60
PTF11iqb,55812.238,16.09,0.076,F,I,,Palomar 60
PTF11iqb,55814.232,16.151,0.042,F,I,,Palomar 60
PTF11iqb,55820.256,16.253,0.059,F,I,,Palomar 60
PTF11iqb,55821.215,16.248,0.066,F,I,,Palomar 60
PTF11iqb,55827.228,16.344,0.061,F,I,,Palomar 60
PTF11iqb,55828.222,16.379,0.052,F,I,,Palomar 60
PTF11iqb,55831.187,16.381,0.05,F,I,,Palomar 60
PTF11iqb,55832.21,16.341,0.063,F,I,,Palomar 60
PTF11iqb,55833.181,16.326,0.048,F,I,,Palomar 60
PTF11iqb,55834.178,16.38,0.086,F,I,,Palomar 60
PTF11iqb,55835.176,16.358,0.048,F,I,,Palomar 60
PTF11iqb,55838.167,16.616,0.05,F,I,,Palomar 60
PTF11iqb,55847.144,16.598,0.058,F,I,,Palomar 60
PTF11iqb,55848.14,16.524,0.047,F,I,,Palomar 60
PTF11iqb,55849.136,16.594,0.062,F,I,,Palomar 60
PTF11iqb,55850.138,16.639,0.058,F,I,,Palomar 60
PTF11iqb,55851.132,16.597,0.085,F,I,,Palomar 60
PTF11iqb,55852.128,16.63,0.064,F,I,,Palomar 60
PTF11iqb,55853.129,16.64,0.067,F,I,,Palomar 60
PTF11iqb,55854.128,16.687,0.086,F,I,,Palomar 60
PTF11iqb,55859.123,16.813,0.053,F,I,,Palomar 60
PTF11iqb,55862.112,16.852,0.062,F,I,,Palomar 60
PTF11iqb,55863.11,16.792,0.041,F,I,,Palomar 60
PTF11iqb,55866.109,16.868,0.069,F,I,,Palomar 60
PTF11iqb,55868.104,16.952,0.06,F,I,,Palomar 60
PTF11iqb,55874.296,17.083,0.065,F,I,,Palomar 60
PTF11iqb,55889.111,18.203,0.069,F,I,,Palomar 60
PTF11iqb,55893.156,18.604,0.075,F,I,,Palomar 60
PTF11iqb,55895.094,18.62,0.074,F,I,,Palomar 60
PTF11iqb,55902.245,18.907,0.081,F,I,,Palomar 60
PTF11iqb,55903.11,18.836,0.058,F,I,,Palomar 60
PTF11iqb,55904.109,18.903,0.078,F,I,,Palomar 60
PTF11iqb,55905.105,19.76,,T,I,,Palomar 60
PTF11iqb,55906.274,19.04,0.095,F,I,,Palomar 60
PTF11iqb,55916.131,19.12,0.099,F,I,,Palomar 60
PTF11iqb,56290.09,21.69,,T,I,,Palomar 60
PTF11iqb,56297.139,21.86,,T,I,,Palomar 60
PTF11iqb,56298.113,22.33,,T,I,,Palomar 60
PTF11iqb,56301.081,21.91,,T,I,,Palomar 60
PTF11iqb,56302.106,19.96,,T,I,,Palomar 60
PTF11iqb,56324.128,22.19,,T,I,,Palomar 60
PTF11iqb,56325.129,20.21,,T,I,,Palomar 60
PTF11iqb,56328.113,21.92,,T,I,,Palomar 60
PTF11iqb,56330.11,22.03,,T,I,,Palomar 60
PTF11iqb,55779.47,15.334,0.064,F,B,,Mount Laguna 40
PTF11iqb,55821.42,17.036,0.045,F,B,,Mount Laguna 40
PTF11iqb,55827.35,17.159,0.03,F,B,,Mount Laguna 40
PTF11iqb,55832.41,17.256,0.069,F,B,,Mount Laguna 40
PTF11iqb,55853.31,17.582,0.037,F,B,,Mount Laguna 40
PTF11iqb,55861.28,17.738,0.075,F,B,,Mount Laguna 40
PTF11iqb,55867.26,17.79,0.058,F,B,,Mount Laguna 40
PTF11iqb,55880.29,18.13,0.041,F,B,,Mount Laguna 40
PTF11iqb,55883.28,18.191,0.043,F,B,,Mount Laguna 40
PTF11iqb,55895.23,18.599,0.034,F,B,,Mount Laguna 40
PTF11iqb,55779.47,15.26,0.025,F,V,,Mount Laguna 40
PTF11iqb,55821.42,16.447,0.097,F,V,,Mount Laguna 40
PTF11iqb,55827.35,16.546,0.052,F,V,,Mount Laguna 40
PTF11iqb,55832.41,16.518,0.042,F,V,,Mount Laguna 40
PTF11iqb,55853.31,16.877,0.063,F,V,,Mount Laguna 40
PTF11iqb,55861.28,16.933,0.063,F,V,,Mount Laguna 40
PTF11iqb,55867.26,17.073,0.041,F,V,,Mount Laguna 40
PTF11iqb,55880.29,17.525,0.068,F,V,,Mount Laguna 40
PTF11iqb,55883.28,17.644,0.036,F,V,,Mount Laguna 40
PTF11iqb,55895.23,18.485,0.023,F,V,,Mount Laguna 40
PTF11iqb,55776.46,15.049,0.019,F,R,,Mount Laguna 40
PTF11iqb,55779.47,15.051,0.082,F,R,,Mount Laguna 40
PTF11iqb,55805.39,15.619,0.064,F,R,,Mount Laguna 40
PTF11iqb,55821.42,15.902,0.036,F,R,,Mount Laguna 40
PTF11iqb,55827.35,15.998,0.04,F,R,,Mount Laguna 40
PTF11iqb,55832.41,15.976,0.035,F,R,,Mount Laguna 40
PTF11iqb,55853.31,16.16,0.055,F,R,,Mount Laguna 40
PTF11iqb,55861.28,16.258,0.037,F,R,,Mount Laguna 40
PTF11iqb,55867.26,16.369,0.046,F,R,,Mount Laguna 40
PTF11iqb,55880.29,16.717,0.024,F,R,,Mount Laguna 40
PTF11iqb,55883.28,16.832,0.032,F,R,,Mount Laguna 40
PTF11iqb,55895.23,17.533,0.026,F,R,,Mount Laguna 40
PTF11iqb,55776.46,15.031,0.014,F,I,,Mount Laguna 40
PTF11iqb,55779.47,14.949,0.034,F,I,,Mount Laguna 40
PTF11iqb,55821.42,15.623,0.039,F,I,,Mount Laguna 40
PTF11iqb,55827.35,15.748,0.025,F,I,,Mount Laguna 40
PTF11iqb,55832.41,15.727,0.033,F,I,,Mount Laguna 40
PTF11iqb,55853.31,15.985,0.033,F,I,,Mount Laguna 40
PTF11iqb,55861.28,16.098,0.041,F,I,,Mount Laguna 40
PTF11iqb,55867.26,16.19,0.027,F,I,,Mount Laguna 40
PTF11iqb,55880.29,16.546,0.027,F,I,,Mount Laguna 40
PTF11iqb,55883.28,16.71,0.027,F,I,,Mount Laguna 40
PTF11iqb,55895.23,17.719,0.031,F,I,,Mount Laguna 40
