event,jd,magnitude,e_magnitude,band,telescope,instrument
SN1990K,2448041.41,15.89,0.05,B,3.6m,EFOSC
SN1990K,2448041.41,14.99,0.03,V,3.6m,EFOSC
SN1990K,2448042.39,16.03,0.02,B,NTT,EFOSC2
SN1990K,2448042.39,15.05,0.02,V,NTT,EFOSC2
SN1990K,2448042.39,14.57,0.02,R,NTT,EFOSC2
SN1990K,2448043.39,16.13,0.03,B,NTT,EFOSC2
SN1990K,2448043.39,15.13,0.03,V,NTT,EFOSC2
SN1990K,2448043.39,14.63,0.03,R,NTT,EFOSC2
SN1990K,2448044.42,16.21,0.05,B,NTT,EFOSC2
SN1990K,2448044.42,15.13,0.04,V,NTT,EFOSC
SN1990K,2448044.42,14.64,0.04,R,NTT,EFOSC2
SN1990K,2448060.40,16.79,0.02,B,Danish 1.5m,
SN1990K,2448060.40,15.52,0.02,V,Danish 1.5m,
SN1990K,2448060.40,14.94,0.02,R,Danish 1.5m,
SN1990K,2448063.42,16.85,0.02,B,Danish 1.5m,
SN1990K,2448063.42,15.52,0.02,V,Danish 1.5m,
SN1990K,2448063.42,14.97,0.02,R,Danish 1.5m,
SN1990K,2448066.42,16.92,0.04,B,Danish 1.5m,
SN1990K,2448066.42,15.62,0.03,V,Danish 1.5m,
SN1990K,2448066.42,15.02,0.03,R,Danish 1.5m,
SN1990K,2448066.42,14.69,0.06,I,Danish 1.5m,
SN1990K,2448067.42,16.97,0.02,B,Danish 1.5m,
SN1990K,2448067.42,15.72,0.03,V,Danish 1.5m,
SN1990K,2448067.42,15.04,0.02,R,Danish 1.5m,
SN1990K,2448067.42,14.84,0.02,I,Danish 1.5m,
SN1990K,2448096.21,19.17,0.03,B,NTT,EFOSC2
SN1990K,2448096.21,17.72,0.02,V,NTT,EFOSC2
SN1990K,2448098.32,19.06,0.05,B,3.6m,EFOSC
SN1990K,2448098.32,17.73,0.02,V,3.6m,EFOSC
SN1990K,2448098.32,16.75,0.05,R,3.6m,EFOSC
SN1990K,2448115.36,19.46,0.04,B,Danish 1.5m,
SN1990K,2448115.36,18.06,0.03,V,Danish 1.5m,
SN1990K,2448115.36,17.02,0.03,R,Danish 1.5m,
SN1990K,2448132.12,19.80,0.04,B,3.6m,EFOSC
SN1990K,2448132.12,18.67,0.03,V,3.6m,EFOSC
SN1990K,2448132.12,17.67,0.02,R,3.6m,EFOSC
SN1990K,2448177.23,20.15,0.05,B,Danish 1.5m,
SN1990K,2448177.23,18.89,0.04,V,Danish 1.5m,
SN1990K,2448177.23,17.76,0.04,R,Danish 1.5m,
SN1990K,2448179.23,20.05,0.05,B,3.6m,EFOSC
SN1990K,2448179.23,18.98,0.04,V,3.6m,EFOSC
SN1990K,2448179.23,17.89,0.04,R,3.6m,EFOSC
SN1990K,2448190.22,20.08,0.10,B,3.6m,EFOSC
SN1990K,2448190.22,19.06,0.03,V,3.6m,EFOSC
SN1990K,2448190.22,18.02,0.02,R,3.6m,EFOSC
SN1990K,2448203.23,20.31,0.25,B,MPI 2.2m,
SN1990K,2448203.23,19.21,0.10,V,MPI 2.2m,
SN1990K,2448203.23,18.14,0.10,R,MPI 2.2m,
SN1990K,2448204.20,20.25,0.15,B,3.6m,EFOSC
SN1990K,2448204.20,19.23,0.07,V,3.6m,EFOSC
SN1990K,2448204.20,18.18,0.06,R,3.6m,EFOSC
SN1990K,2448218.07,19.35,0.10,V,3.6m,EFOSC
SN1990K,2448239.11,20.46,0.12,B,Danish 1.5m,
SN1990K,2448239.11,19.67,0.05,V,Danish 1.5m,
SN1990K,2448239.11,18.65,0.05,R,Danish 1.5m,
SN1990K,2448245.08,19.55,0.04,V,3.6m,EFOSC
SN1990K,2448469.24,22.2,V,MPI 2.2m,
SN1990K,2448469.24,21.79,0.2,R,MPI 2.2m,
SN1990K,2448474.30,22.04,0.25,R,3.6m,EFOSC
SN1990K,2448510.28,22.15,0.3,R,3.6m,EFOSC
