event,jd,magnitude,e_magnitude,upper limit,band,instrument,telescope
SN1999gp,2451542.5660,0.029,0.004,,V-R,,
SN1999gp,2451542.5660,0.019,0.004,,V-I,,
SN1999gp,2451544.5630,16.424,0.006,,V,,
SN1999gp,2451544.5630,0.009,0.004,,B-V,,
SN1999gp,2451544.5630,-0.011,0.005,,V-R,,
SN1999gp,2451544.5630,-0.102,0.007,,V-I,,
SN1999gp,2451547.7250,16.224,0.006,,V,,
SN1999gp,2451547.7250,0.039,0.004,,B-V,,
SN1999gp,2451547.7250,0.022,0.003,,V-R,,
SN1999gp,2451547.7250,-0.278,0.004,,V-I,,
SN1999gp,2451552.5820,16.140,0.006,,V,,
SN1999gp,2451552.5820,0.146,0.004,,B-V,,
SN1999gp,2451552.5820,0.122,0.007,,V-R,,
SN1999gp,2451552.5820,0.103,0.005,,V-I,,
SN1999gp,2451573.5920,17.020,0.006,,V,,
SN1999gp,2451573.5920,0.881,0.004,,B-V,,
SN1999gp,2451573.5920,0.266,0.006,,V-R,,
SN1999gp,2451573.5920,0.366,0.006,,V-I,,
SN1999gp,2451578.5710,17.199,0.008,,V,,
SN1999gp,2451578.5710,1.118,0.005,,B-V,,
SN1999gp,2451578.5710,0.358,0.004,,V-R,,
SN1999gp,2451578.5710,0.534,0.004,,V-I,,
SN1999gp,2451581.5770,17.326,0.008,,V,,
SN1999gp,2451581.5770,1.207,0.004,,B-V,,
SN1999gp,2451581.5770,0.377,0.006,,V-R,,
SN1999gp,2451581.5770,0.680,0.007,,V-I,,
SN1999gp,2451584.7680,17.467,0.008,,V,,
SN1999gp,2451584.7680,1.263,0.007,,B-V,,
SN1999gp,2451584.7680,0.453,0.007,,V-R,,
SN1999gp,2451584.7680,0.766,0.011,,V-I,,
SN1999gp,2451588.5810,17.709,0.008,,V,,
SN1999gp,2451588.5810,1.157,0.014,,B-V,,
SN1999gp,2451588.5810,0.321,0.008,,V-R,,
SN1999gp,2451588.5810,0.598,0.010,,V-I,,
SN1999gp,2451601.5890,18.242,0.008,,V,,
SN1999gp,2451601.5890,0.973,0.011,,B-V,,
SN1999gp,2451601.5890,0.283,0.009,,V-R,,
SN1999gp,2451601.5890,0.370,0.016,,V-I,,
SN1999gp,2451614.5980,18.588,0.008,,V,,
SN1999gp,2451614.5980,0.938,0.009,,B-V,,
SN1999gp,2451614.5980,0.527,0.024,,V-I,,
SN1999gp,2451616.5990,18.642,0.010,,V,,
SN1999gp,2451616.5990,1.075,0.041,,B-V,,
SN1999gp,2451616.5990,0.177,0.009,,V-R,,
SN1999gp,2451616.5990,0.254,0.015,,V-I,,
SN1999gp,2451630.6120,18.950,0.008,,V,,
SN1999gp,2451630.6120,0.721,0.012,,B-V,,
SN2000bk,2451658.6880,17.289,0.003,,V,,
SN2000bk,2451658.6880,0.746,0.006,,B-V,,
SN2000bk,2451658.6880,0.086,0.004,,V-R,,
SN2000bk,2451658.6880,-0.071,0.008,,V-I,,
SN2000bk,2451660.6090,17.431,0.007,,V,,
SN2000bk,2451660.6090,0.859,0.015,,B-V,,
SN2000bk,2451660.6090,0.123,0.009,,V-R,,
SN2000bk,2451660.6090,-0.029,0.014,,V-I,,
SN2000bk,2451665.8730,17.832,0.005,,V,,
SN2000bk,2451665.8730,1.252,0.013,,B-V,,
SN2000bk,2451665.8730,0.371,0.006,,V-R,,
SN2000bk,2451665.8730,0.473,0.012,,V-I,,
SN2000bk,2451672.6900,18.425,0.003,,V,,
SN2000bk,2451672.6900,1.273,0.009,,B-V,,
SN2000bk,2451672.6900,0.559,0.004,,V-R,,
SN2000bk,2451672.6900,0.898,0.007,,V-I,,
SN2000bk,2451675.6410,18.672,0.005,,V,,
SN2000bk,2451675.6410,1.206,0.012,,B-V,,
SN2000bk,2451675.6410,0.526,0.006,,V-R,,
SN2000bk,2451675.6410,0.867,0.008,,V-I,,
SN2000bk,2451684.6440,19.061,0.006,,V,,
SN2000bk,2451684.6440,1.229,0.016,,B-V,,
SN2000bk,2451684.6440,0.405,0.008,,V-R,,
SN2000bk,2451684.6440,0.631,0.011,,V-I,,
SN2000bk,2451686.6370,19.164,0.006,,V,,
SN2000bk,2451686.6370,1.192,0.020,,B-V,,
SN2000bk,2451686.6370,0.427,0.008,,V-R,,
SN2000bk,2451686.6370,0.642,0.013,,V-I,,
SN2000bk,2451689.6740,19.261,0.005,,V,,
SN2000bk,2451689.6740,1.126,0.010,,B-V,,
SN2000bk,2451689.6740,0.398,0.007,,V-R,,
SN2000bk,2451689.6740,0.584,0.011,,V-I,,
SN2000bk,2451693.6650,19.401,0.005,,V,,
SN2000bk,2451693.6650,1.113,0.012,,B-V,,
SN2000bk,2451693.6650,0.306,0.007,,V-R,,
SN2000bk,2451693.6650,0.521,0.014,,V-I,,
SN2000ce,2451675.6210,16.864,0.005,,V,,
SN2000ce,2451675.6210,0.778,0.012,,B-V,,
SN2000ce,2451675.6210,0.297,0.009,,V-R,,
SN2000ce,2451675.6210,0.272,0.007,,V-I,,
SN2000ce,2451684.6170,17.442,0.018,,V,,
SN2000ce,2451684.6170,1.081,0.036,,B-V,,
SN2000ce,2451684.6170,0.392,0.022,,V-R,,
SN2000ce,2451684.6170,0.638,0.023,,V-I,,
SN2000ce,2451686.6240,17.467,0.011,,V,,
SN2000ce,2451686.6240,1.259,0.043,,B-V,,
SN2000ce,2451686.6240,0.338,0.015,,V-R,,
SN2000ce,2451686.6240,0.699,0.015,,V-I,,
SN2000ce,2451689.6340,17.616,0.004,,V,,
SN2000ce,2451689.6340,1.489,0.010,,B-V,,
SN2000ce,2451689.6340,0.492,0.008,,V-R,,
SN2000ce,2451689.6340,0.900,0.007,,V-I,,
SN2000ce,2451693.6400,17.796,0.005,,V,,
SN2000ce,2451693.6400,1.640,0.017,,B-V,,
SN2000ce,2451693.6400,0.601,0.009,,V-R,,
SN2000ce,2451693.6400,1.117,0.008,,V-I,,
SN2000ce,2451707.6450,18.515,0.015,,V,,
SN2000ce,2451707.6450,1.665,0.065,,B-V,,
SN2000ce,2451707.6450,0.682,0.021,,V-R,,
SN2000ce,2451707.6450,1.316,0.021,,V-I,,
SN2000ce,2451711.6400,18.671,0.017,,V,,
SN2000ce,2451711.6400,1.825,0.071,,B-V,,
SN2000ce,2451711.6400,0.636,0.021,,V-R,,
SN2000ce,2451711.6400,1.271,0.020,,V-I,,
SN1999gp,2451539.5700,17.310,0.060,,J,APO,,
SN1999gp,2451539.5700,17.740,0.250,,K',APO,,
SN1999gp,2451561.6600,17.400,0.130,,H,APO,,
SN1999gp,2451561.6600,16.710,0.110,,K',APO,,
SN1999gp,2451561.6600,16.510,0.150,,Kc,APO
SN1999gp,2451564.8200,18.670,0.190,,J,APO,,
SN1999gp,2451564.8200,17.450,0.140,,H,APO,,
SN1999gp,2451564.8200,17.270,0.180,,K',APO,,
SN1999gp,2451564.8200,17.220,0.230,,Kc,APO
SN1999gp,2451568.7900,18.290,0.120,,J,APO,,
SN1999gp,2451568.7900,17.160,0.110,,H,APO,,
SN1999gp,2451568.7900,17.180,0.170,,K',APO,,
SN1999gp,2451568.7900,17.190,0.220,,Kc,APO
SN2000bk,2451653.7700,17.640,0.020,,J,LCO1,,
SN2000bk,2451653.7700,17.600,0.040,,H,LCO1,,
SN2000bk,2451654.7300,17.810,0.030,,J,LCO1,,
SN2000bk,2451654.7300,17.680,0.040,,H,LCO1,,
SN2000bk,2451658.6700,18.380,0.030,,J,LCO2,,
SN2000bk,2451658.6700,17.740,0.030,,H,LCO2,,
SN2000bk,2451659.6300,18.410,0.030,,J,LCO2,,
SN2000bk,2451659.6300,17.650,0.030,,H,LCO2,,
SN2000bk,2451660.5900,18.360,0.030,,J,LCO2,,
SN2000bk,2451660.5900,17.610,0.030,,H,LCO2,,
SN2000bk,2451660.7500,18.280,0.120,,J,APO,,
SN2000bk,2451660.7500,17.500,0.070,,H,APO,,
SN2000bk,2451661.7300,18.660,0.040,,J,LCO1,,
SN2000bk,2451661.7300,17.730,0.050,,H,LCO1,,
SN2000bk,2451662.6800,18.450,0.040,,J,LCO1,,
SN2000bk,2451662.6800,17.630,0.050,,H,LCO1,,
SN2000bk,2451663.6300,18.500,0.050,,J,LCO1,,
SN2000bk,2451663.6300,17.580,0.050,,H,LCO1,,
SN2000bk,2451664.5900,18.530,0.040,,J,LCO1,,
SN2000bk,2451665.6500,18.480,0.050,,J,LCO1,,
SN2000bk,2451665.6500,17.650,0.050,,H,LCO1,,
SN2000bk,2451665.8400,17.500,0.060,,H,APO,,
SN2000bk,2451666.6500,18.270,0.040,,J,LCO1,,
SN2000bk,2451666.6500,17.580,0.040,,H,LCO1,,
SN2000bk,2451667.6000,18.220,0.040,,J,LCO1,,
SN2000bk,2451667.6000,17.450,0.050,,H,LCO1,,
SN2000bk,2451672.7600,17.850,0.080,,J,APO,,
SN2000bk,2451676.6100,18.390,0.020,,J,LCO2,,
SN2000bk,2451676.6100,17.940,0.040,,H,LCO2,,
SN2000bk,2451681.6500,18.920,0.040,,J,LCO2,,
SN2000bk,2451681.6500,18.150,0.050,,H,LCO2,,
SN2000bk,2451683.5700,19.080,0.040,,J,LCO2,,
SN2000bk,2451683.5700,18.200,0.050,,H,LCO2,,
SN2000bk,2451686.5100,19.350,0.080,,J,LCO2,,
SN2000ce,2451675.7500,16.820,0.030,,J,APO,,
SN2000ce,2451675.7500,16.460,0.030,,H,APO,,
SN2000ce,2451675.7500,16.160,0.040,,K',APO,,
SN2000ce,2451675.7500,16.080,0.050,,Kc,APO,,
SN2000ce,2451684.7200,17.570,0.040,,J,APO,,
SN2000ce,2451684.7200,16.420,0.030,,H,APO,,
SN2000ce,2451684.7200,16.130,0.040,,K',APO,,
SN2000ce,2451684.7200,16.040,0.050,,Kc,APO,,
SN2000ce,2451686.7100,17.440,0.040,,J,APO,,
SN2000ce,2451686.7100,16.250,0.030,,H,APO,,
SN2000ce,2451686.7100,16.050,0.040,,K',APO,,
SN2000ce,2451686.7100,16.000,0.050,,Kc,APO,,
SN2000ce,2451689.7700,16.320,0.030,,H,APO,,
SN2000ce,2451689.7700,16.110,0.070,,K',APO,,
SN2000ce,2451689.7700,16.200,0.070,,Kc,APO,,
SN2000ce,2451693.7400,16.120,0.030,,H,APO,,
SN2000ce,2451693.7400,16.010,0.040,,K',APO,,
SN2000ce,2451693.7400,15.980,0.050,,Kc,APO,,
