event,jd,magnitude,e_magnitude,upper limit,band,instrument,telescope
SN1999da,2451366.7340,16.543,0.048,,V,MRO, 
SN1999da,2451366.7340,0.810,0.113,,B-V,MRO,
SN1999da,2451366.7340,-0.003,0.064,,V-R,MRO,
SN1999da,2451366.7340,-0.082,0.068,,V-I,MRO,
SN1999da,2451367.8060,16.552,0.014,,V,MRO, 
SN1999da,2451367.8060,0.480,0.025,,B-V,MRO, 
SN1999da,2451367.8060,0.266,0.017,,V-R,MRO, 
SN1999da,2451367.8060,0.130,0.026,,V-I,MRO,
SN1999da,2451368.7850,16.462,0.008,,V,MRO, 
SN1999da,2451368.7850,0.516,0.015,,B-V,MRO, 
SN1999da,2451368.7850,0.234,0.012,,V-R,MRO,
SN1999da,2451368.7850,0.161,0.020,,V-I,MRO,
SN1999da,2451379.7180,16.674,0.012,,V,MRO,
SN1999da,2451379.7180,0.431,0.014,,V-R,MRO, 
SN1999da,2451379.7180,0.599,0.020,,V-I,MRO
SN1999da,2451383.6670,17.163,0.005,,V,APO,
SN1999da,2451383.6670,1.499,0.006,,B-V,APO, 
SN1999da,2451383.6670,0.565,0.005,,V-R,APO,
SN1999da,2451383.6670,0.912,0.006,,V-I,APO
SN1999da,2451388.8550,17.423,0.032,,V,MRO,
SN1999da,2451388.8550,1.753,0.152,,B-V,MRO,
SN1999da,2451388.8550,0.364,0.042,,V-R,MRO,
SN1999da,2451388.8550,0.729,0.041,,V-I,MRO,
SN1999da,2451392.6840,17.827,0.026,,V,APO,
SN1999da,2451392.6840,0.914,0.028,,V-I,APO,
SN1999da,2451413.6880,18.800,0.044,,V,MRO,
SN1999da,2451413.6880,1.036,0.132,,B-V,MRO, 
SN1999da,2451413.6880,0.313,0.063,,V-R,MRO, 
SN1999da,2451413.6880,0.714,0.061,,V-I,MRO,
SN1999dk,2451412.9810,14.963,0.011,,V,,
SN1999dk,2451412.9810,0.006,0.016,,V-R,,
SN1999dk,2451412.9810,-0.220 ,0.021,,V-I,,
SN1999dk,2451413.8730,14.986,0.008,,V,,
SN1999dk,2451413.8730,0.082,0.013,,B-V,, 
SN1999dk,2451413.8730,0.028,0.014,,V-R,, 
SN1999dk,2451413.8730,-0.229 ,0.017,,V-I,,
SN1999dk,2451416.9240,14.923,0.011,,V,, 
SN1999dk,2451416.9240,0.113,0.019,,B-V,, 
SN1999dk,2451416.9240,-0.002 ,0.017,,V-R,, 
SN1999dk,2451416.9240,-0.368 ,0.022,,V-I,,
SN1999dk,2451425.8880,15.216,0.009,,V,, 
SN1999dk,2451425.8880,0.497,0.016,,B-V,, 
SN1999dk,2451425.8880,-0.085,0.016,,V-R,, 
SN1999dk,2451425.8880,-0.475,0.025,,V-I,,
SN1999dk,2451426.8640,15.270,0.008,,V,, 
SN1999dk,2451426.8640,0.476,0.015,,B-V,, 
SN1999dk,2451426.8640,-0.122,0.016,,V-R,, 
SN1999dk,2451426.8640,-0.458,0.025,,V-I,,
SN1999dk,2451437.8780,15.820,0.010,,V,, 
SN1999dk,2451437.8780,1.088,0.024,,B-V,, 
SN1999dk,2451437.8780,0.225,0.018,,V-R,, 
SN1999dk,2451437.8780,0.256,0.022,,V-I,,
SN1999dk,2451442.8300,16.136,0.011,,V,,
SN1999dk,2451442.8300,1.297,0.026,,B-V,, 
SN1999dk,2451442.8300,0.342,0.017,,V-R,, 
SN1999dk,2451442.8300,0.438,0.025,,V-I,,
SN1999dk,2451463.8530,16.966,0.026,,V,, 
SN1999dk,2451463.8530,1.100,0.059,,B-V,, 
SN1999dk,2451463.8530,0.251,0.035,,V-R,, 
SN1999dk,2451463.8530,0.317,0.046,,V-I,,
SN1999dk,2451464.7230,17.053,0.030,,V,, 
SN1999dk,2451464.7230,0.900,0.050,,B-V,, 
SN1999dk,2451464.7230,0.425,0.041,,V-R,, 
SN1999dk,2451464.7230,0.309,0.061,,V-I,,
SN1999dk,2451466.7200,16.998,0.023,,V,, 
SN1999dk,2451466.7200,0.936,0.045,,B-V,, 
SN1999dk,2451466.7200,0.345,0.033,,V-R,, 
SN1999dk,2451466.7200,0.393,0.051,,V-I,,
SN1999dk,2451469.8510,17.154,0.020,,V,, 
SN1999dk,2451469.8510,1.016,0.044,,B-V,, 
SN1999dk,2451469.8510,0.303,0.033,,V-R,, 
SN1999dk,2451469.8510,0.289,0.041,,V-I,,
SN1999gp,2451542.5660,16.626,0.006,,V,,
SN1999gp,2451542.5660,0.006,0.005,,B-V,,
