event,jd,magnitude,magnitude error,upper limit,band,instrument,telescope
SN1991S,2448359.67,18.15,0.03,f,V,DFOSC,Danish 1.54m 
SN1991S,2448364.51,18.94,0.02,f,B,EFOSC2,MPG/ESO 2.2m 
SN1991S,2448364.51,18.31,0.02,f,R,EFOSC2,MPG/ESO 2.2m 
SN1991S,2448364.51,18.42,0.03,f,V,EFOSC2,MPG/ESO 2.2m 
SN1991S,2448366.64,19.34,0.03,f,B,EFOSC1,ESO 3.6m 
SN1991S,2448366.64,18.25,0.03,f,R,EFOSC1,ESO 3.6m 
SN1991S,2448366.64,18.51,0.02,f,V,EFOSC1,ESO 3.6m 
SN1991T,2448362.85,12.98,0.02,f,B,,ESO 1.0m
SN1991T,2448362.85,12.87,0.02,f,I,,ESO 1.0m
SN1991T,2448362.85,12.67,0.02,f,R,,ESO 1.0m
SN1991T,2448362.85,12.26,0.02,f,U,,ESO 1.0m
SN1991T,2448362.85,12.84,0.02,f,V,,ESO 1.0m
SN1991T,2448363.65,12.73,0.01,f,B,EFOSC2,MPG/ESO 2.2m 
SN1991T,2448363.65,12.61,0.01,f,V,EFOSC2,MPG/ESO 2.2m 
SN1991T,2448363.8,12.8,0.02,f,B,,ESO 1.0m
SN1991T,2448363.8,12.04,0.02,f,U,,ESO 1.0m
SN1991T,2448363.8,12.74,0.02,f,V,,ESO 1.0m
SN1991T,2448364.64,12.46,0.01,f,B,EFOSC2,MPG/ESO 2.2m 
SN1991T,2448364.64,12.32,0.01,f,R,EFOSC2,MPG/ESO 2.2m 
SN1991T,2448364.64,12.34,0.01,f,V,EFOSC2,MPG/ESO 2.2m 
SN1991T,2448366.67,12.06,0.01,f,B,EFOSC1,ESO 3.6m 
SN1991T,2448366.67,11.97,0.01,f,R,EFOSC1,ESO 3.6m 
SN1991T,2448366.67,12,0.01,f,V,EFOSC1,ESO 3.6m 
SN1991T,2448367.65,11.89,0.01,f,V,EFOSC1,ESO 3.6m 
SN1991T,2448368.7,11.78,0.01,f,B,EFOSC1,ESO 3.6m 
SN1991T,2448368.7,11.7,0.01,f,R,EFOSC1,ESO 3.6m 
SN1991T,2448368.7,11.8,0.01,f,V,EFOSC1,ESO 3.6m 
