event, jd, magnitude, e_magnitude, upper limit, xxxxxxxxxx, instrument, telescope
SN1991T, 2448364.46, 11.73, F, NGC 4527, , ANU
SN1991T, 2448380.75, 12.45, 0.09, F, NGC 4527, , ANU
SN1991T, 2448381.80, 12.58, 0.10, F, NGC 4527, , ANU
SN1991T, 2448429.86, 14.97, 0.30, F, NGC 4527, , ANU
SN1991bg, 2448606.05, 13.49, 0.03, NGC 4374, SQIID, KPNO
SN1991bg, 2448606.06, 13.51, 0.03, NGC 4374, SQIID, KPNO
SN1991bg, 2448607.05, 13.59, 0.04, NGC 4374, SQIID, KPNO
SN1999ek, 2451478.840, 18.06, 0.023, F, UGC3329, HgCdTe NICMOS, CTIO
SN1999ek, 2451478.840, 18.048, 0.021, F, UGC3329, HgCdTe NICMOS, CTIO
SN1999ek, 2451479.836, 17.987, 0.041, F, UGC3329, HgCdTe NICMOS, CTIO
SN1999ek, 2451479.840, 17.925, 0.037, F, UGC3329, HgCdTe NICMOS, CTIO
SN1999ek, 2451480.758, 18.070, 0.070, F, UGC3329, HgCdTe NICMOS, CTIO
SN1999ek, 2451480.758, 17.984, 0.082, F, UGC3329, HgCdTe NICMOS, CTIO
SN1999ek, 2451481.785, 17.938, 0.016, F, UGC3329, HgCdTe NICMOS, CTIO
SN1999ek, 2451481.789, 17.930, 0.023, F, UGC3329, HgCdTe NICMOS, CTIO
SN1999ek, 2451483.863, 17.955, 0.015, F, UGC3329, HgCdTe NICMOS, CTIO
SN1999ek, 2451483.867, 17.913, 0.014, F, UGC3329, HgCdTe NICMOS, CTIO
SN1999ek, 2451484.734, 17.968, 0.014, F, UGC3329, HgCdTe NICMOS, CTIO
SN1999ek, 2451484.738, 17.983, 0.014, F, UGC3329, HgCdTe NICMOS, CTIO
SN1999ek, 2451485.801, 17.998, 0.029, F, UGC3329, HgCdTe NICMOS, CTIO
SN1999ek, 2451485.805, 18.034, 0.057, F, UGC3329, HgCdTe NICMOS, CTIO
SN1999ek, 2451486.824, 18.069, 0.014, F, UGC3329, HgCdTe NICMOS, CTIO
SN1999ek, 2451486.824, 18.062, 0.015, F, UGC3329, HgCdTe NICMOS, CTIO
SN1999ek, 2451487.812, 18.108, 0.014, F, UGC3329, HgCdTe NICMOS, CTIO
SN1999ek, 2451487.812, 18.103, 0.016, F, UGC3329, HgCdTe NICMOS, CTIO
SN1999ek, 2451488.813, 18.182, 0.014, F, UGC3329, HgCdTe NICMOS, CTIO
SN1999ek, 2451489.762, 18.289, 0.019, F, UGC3329, HgCdTe NICMOS, CTIO
SN1999ek, 2451489.766, 18.258, 0.018, F, UGC3329, HgCdTe NICMOS, CTIO
SN1999ek, 2451490.844, 18.358, 0.014, F, UGC3329, HgCdTe NICMOS, CTIO
SN1999ek, 2451490.848, 18.374, 0.017, F, UGC3329, HgCdTe NICMOS, CTIO
SN1999ek, 2451492.859, 18.552, 0.018, F, UGC3329, HgCdTe NICMOS, CTIO
SN1999ek, 2451492.871, 18.541, 0.051, F, UGC3329, HgCdTe NICMOS, CTIO
SN1999ek, 2451493.812, 18.668, 0.016, F, UGC3329, HgCdTe NICMOS, CTIO
SN1999ek, 2451493.828, 18.672, 0.017, F, UGC3329, HgCdTe NICMOS, CTIO
SN1999ek, 2451501.848, 19.654, 0.026, F, UGC3329, HgCdTe NICMOS, CTIO
SN1999ek, 2451501.852, 19.671, 0.031, F, UGC3329, HgCdTe NICMOS, CTIO
SN1999ek, 2451503.695, 20.384, 0.208, F, UGC3329, HgCdTe NICMOS, CTIO
SN1999ek, 2451504.707, 20.057, 0.176, F, UGC3329, HgCdTe NICMOS, CTIO
SN1999ek, 2451506.778, 20.308, 0.206, F, UGC3329, HgCdTe NICMOS, CTIO
SN1999ek, 2451508.836, 20.312, 0.134, F, UGC3329, HgCdTe NICMOS, CTIO
SN2001bt, 2452055.78, 16.260, 0.023, F, IC 4830, , CTIO
SN2001bt, 2452061.90, 15.577, 0.014, F, IC 4830, , CTIO
SN2001bt, 2452061.82, 15.571, 0.011, F, IC 4830, , YALO
SN2001bt, 2452064.77, 15.522, 0.039, F, IC 4830, , YALO
SN2001bt, 2452067.83, 5.668, 0.012, F, IC 4830, , YALO
SN2001bt, 2452070.82, 15.856, 0.019, F, IC 4830, , YALO
SN2001bt, 2452073.92, 16.197, 0.030, F, IC 4830, , YALO
SN2001bt, 2452076.86, 16.503, 0.020, F, IC 4830, , YALO
SN2001bt, 2452079.89, 16.945, 0.030, F, IC 4830, , YALO
SN2001bt, 2452082.75, 17.306, 0.021, F, IC 4830, , YALO
SN2001bt, 2452085.74, 17.689, 0.048, F, IC 4830, , YALO
SN2001bt, 2452088.70, 17.937, 0.033, F, IC 4830, , YALO
SN2001bt, 2452091.68, 18.156, 0.045, F, IC 4830, , YALO
SN2001bt, 2452094.81, 18.410, 0.178, F, IC 4830, , YALO
SN2001bt, 2452097.67, 18.529, 0.088, F, IC 4830, , YALO
SN2001bt, 2452101.75, 18.574, 0.161, F, IC 4830, , YALO
SN2001bt, 2452106.64, 18.791, 0.088, F, IC 4830, , YALO
SN2001bt, 2452115.86, 18.904, 0.039, F, IC 4830, , YALO
SN2001bt, 2452122.67, 18.923, 0.099, F, IC 4830, , YALO
SN2001bt, 2452123.65, 18.920, 0.051, F, IC 4830, , YALO
SN2001bt, 2452128.75, 19.121, 0.077, F, IC 4830, , YALO
SN2001bt, 2452131.76, 19.014, 0.041, F, IC 4830, , YALO
SN2001cn, 2452075.85, 15.559, 0.013, F, IC 4758, , CTIO
SN2001cn, 2452075.84, 15.639, 0.014, F, IC 4758, , YALO
SN2001cn, 2452076.80, 15.611, 0.022, F, IC 4758, , CTIO
SN2001cn, 2452076.85, 15.631, 0.023, F, IC 4758, , YALO
SN2001cn, 2452077.79, 15.676, 0.023, F, IC 4758, , CTIO
SN2001cn, 2452078.80, 15.759, 0.022, F, IC 4758, , CTIO
SN2001cn, 2452079.73, 15.785, 0.015, F, IC 4758, , YALO
SN2001cn, 2452082.71, 16.099, 0.008, F, IC 4758, , YALO
SN2001cn, 2452085.71, 16.425, 0.009, F, IC 4758, , YALO
SN2001cn, 2452088.67, 16.822, 0.011, F, IC 4758, , YALO
SN2001cn, 2452091.65, 17.173, 0.019, F, IC 4758, , YALO
SN2001cn, 2452094.81, 17.532, 0.020, F, IC 4758, , YALO
SN2001cn, 2452096.72, 17.729, 0.059, F, IC 4758, , YALO
SN2001cn, 2452097.71, 17.800, 0.021, F, IC 4758, , YALO
SN2001cn, 2452101.72, 18.086, 0.018, F, IC 4758, , YALO
SN2001cn, 2452104.67, 18.275, 0.018, F, IC 4758, , YALO
SN2001cn, 2452106.67, 18.379, 0.016, F, IC 4758, , YALO
SN2001cn, 2452114.86, 18.667, 0.026, F, IC 4758, , YALO
SN2001cn, 2452117.81, 18.664, 0.033, F, IC 4758, , YALO
SN2001cn, 2452122.62, 18.763, 0.071, F, IC 4758, , YALO
SN2001cn, 2452123.61, 18.757, 0.035, F, IC 4758, , YALO
SN2001cn, 2452127.67, 18.846, 0.075, F, IC 4758, ,YALO
SN2001cn, 2452130.76, 18.897, 0.056, F, IC 4758, , YALO
SN2001cn, 2452140.72, 19.057, 0.054, F, IC 4758, ,YALO
SN2001cn, 2452156.71, 19.127, 0.080, F, IC 4758, , YALO
SN2001cz, 2452097.50, 15.740, 0.037, F, NGC 4679, , CTIO
SN2001cz, 2452101.53, 15.465, 0.012, F, NGC 4679, , YALO
SN2001cz, 2452104.47, 15.436, 0.016, F, NGC 4679, , YALO
SN2001cz, 2452106.47, 15.474, 0.010, F, NGC 4679, , YALO
SN2001cz, 2452112.53, 15.843, 0.022, F, NGC 4679, , YALO
SN2001cz, 2452114.48, 15.957, 0.018, F, NGC 4679, , YALO
SN2001cz, 2452117.48, 16.237, 0.014, F, NGC 4679, , YALO
SN2001cz, 2452123.47, 16.944, 0.021, F, NGC 4679, , YALO
SN2001cz, 2452128.48, 17.488, 0.070, F, NGC 4679, , YALO
SN2001cz, 2452130.49, 17.694, 0.040, F, NGC 4679, , YALO
SN2001cz, 2452137.49, 18.203, 0.085, F, NGC 4679, , YALO
SN2001cz, 2452144.48, 18.462, 0.041, F, NGC 4679, , YALO
SN2001cz, 2452151.49, 18.608, 0.040, F, NGC 4679, , YALO
SN2001cz, 2452155.51, 18.623, 0.164, F, NGC 4679, , YALO
SN2002bo, 2452345.67, 15.797, 0.016, F, NGC 3190, , YALO
SN2002bo, 245346.68, 15.431, 0.009, F, NGC 3190, , YALO
SN2002bo, 245350.56, 14.397, 0.020, F, NGC 3190, , CTIO
SN2002bo, 245350.66, 14.484, 0.022, F, NGC 3190, , YALO
SN2002bo, 245354.65, 14.136 0.014, F, NGC 3190, , YALO
SN2002bo, 245358.64, 14.126, 0.010, F, NGC 3190, , YALO
SN2002bo, 245360.65., 14.127, 0.047, F, NGC 3190, , CTIO
SN2002bo, 245361.66., 14.205, 0.040, F, NGC 3190, , CTIO
SN2002bo, 245362.62, 14.308, 0.012, F, NGC 3190, , YALO
SN2002bo, 245366.62, 14.658, 0.025,  F, NGC 3190, , YALO
SN2002bo, 245370.55, 15.098, 0.013,  F, NGC 3190, , YALO
SN2002bo, 245373.60, 15.390, 0.020,  F, NGC 3190, , CTIO
SN2002bo, 245376.58, 15.758, 0.031,  F, NGC 3190, , CTIO
SN2002bo, 245381.58, 16.293, 0.028,  F, NGC 3190, , CTIO
