event,jd,magnitude,magnitude error,upper limit,band,xxxxx,telescope,instrument
SN2013ej,2456537.01,15.53,0.03,F,U,,Lijiang 2.4m,
SN2013ej,2456564.14,16.4,0.08,F,U,,Lijiang 2.4m,
SN2013ej,2456573.25,16.55,0.07,F,U,,Tsinghua 0.8m NAOC,
SN2013ej,2456575.25,16.5,0.05,F,U,,Tsinghua 0.8m NAOC,
SN2013ej,2456576.25,16.79,0.05,F,U,,Tsinghua 0.8m NAOC,
SN2013ej,2456579.25,16.85,0.05,F,U,,Tsinghua 0.8m NAOC,
SN2013ej,2456585.25,16.71,0.15,F,U,,Tsinghua 0.8m NAOC,
SN2013ej,2456586.25,16.83,0.18,F,U,,Tsinghua 0.8m NAOC,
SN2013ej,2456601.25,18.2,0.13,F,U,,Tsinghua 0.8m NAOC,
SN2013ej,2456603,18.43,0.1,F,U,,Tsinghua 0.8m NAOC,
SN2013ej,2456607.25,18.44,0.15,F,U,,Tsinghua 0.8m NAOC,
SN2013ej,2456617,18.84,0.15,F,U,,Tsinghua 0.8m NAOC,
SN2013ej,2456619,18.87,0.11,F,U,,Tsinghua 0.8m NAOC,
SN2013ej,2456621,18.83,0.11,F,U,,Tsinghua 0.8m NAOC,
SN2013ej,2456629,18.81,0.1,F,U,,Tsinghua 0.8m NAOC,
SN2013ej,2456504.28,12.62,0.02,F,B,,Lijiang 2.4m,
SN2013ej,2456506.38,12.58,0.02,F,B,,Lijiang 2.4m,
SN2013ej,2456507.32,12.54,0.03,F,B,,Lijiang 2.4m,
SN2013ej,2456517.31,13.05,0.04,F,B,,Lijiang 2.4m,
SN2013ej,2456521.24,13.33,0.05,F,B,,Lijiang 2.4m,
SN2013ej,2456537.01,14.55,0.01,F,B,,Lijiang 2.4m,
SN2013ej,2456564.14,14.91,0.09,F,B,,Lijiang 2.4m,
SN2013ej,2456573.25,15.14,0.05,F,B,,Tsinghua 0.8m NAOC,
SN2013ej,2456575.25,15.23,0.04,F,B,,Tsinghua 0.8m NAOC,
SN2013ej,2456576.25,15.32,0.05,F,B,,Tsinghua 0.8m NAOC,
SN2013ej,2456579.25,15.39,0.04,F,B,,Tsinghua 0.8m NAOC,
SN2013ej,2456585.25,15.56,0.05,F,B,,Tsinghua 0.8m NAOC,
SN2013ej,2456586.25,15.67,0.07,F,B,,Tsinghua 0.8m NAOC,
SN2013ej,2456588.25,15.69,0.05,F,B,,Tsinghua 0.8m NAOC,
SN2013ej,2456589.25,15.77,0.04,F,B,,Tsinghua 0.8m NAOC,
SN2013ej,2456601.25,17.47,0.04,F,B,,Tsinghua 0.8m NAOC,
SN2013ej,2456603,17.57,0.03,F,B,,Tsinghua 0.8m NAOC,
SN2013ej,2456606,17.76,0.05,F,B,,Tsinghua 0.8m NAOC,
SN2013ej,2456607.25,17.79,0.04,F,B,,Tsinghua 0.8m NAOC,
SN2013ej,2456608,17.62,0.08,F,B,,Tsinghua 0.8m NAOC,
SN2013ej,2456614.25,17.65,0.16,F,B,,Tsinghua 0.8m NAOC,
SN2013ej,2456616,17.93,0.08,F,B,,Tsinghua 0.8m NAOC,
SN2013ej,2456617,17.92,0.06,F,B,,Tsinghua 0.8m NAOC,
SN2013ej,2456618,17.93,0.05,F,B,,Tsinghua 0.8m NAOC,
SN2013ej,2456619,17.97,0.05,F,B,,Tsinghua 0.8m NAOC,
SN2013ej,2456621,18,0.05,F,B,,Tsinghua 0.8m NAOC,
SN2013ej,2456629,18.06,0.05,F,B,,Tsinghua 0.8m NAOC,
SN2013ej,2456631,18.11,0.05,F,B,,Tsinghua 0.8m NAOC,
SN2013ej,2456632,18.12,0.04,F,B,,Tsinghua 0.8m NAOC,
SN2013ej,2456634,18,0.05,F,B,,Tsinghua 0.8m NAOC,
SN2013ej,2456641,18.22,0.14,F,B,,Tsinghua 0.8m NAOC,
SN2013ej,2456643,18.17,0.17,F,B,,Tsinghua 0.8m NAOC,
SN2013ej,2456645,18.54,0.13,F,B,,Tsinghua 0.8m NAOC,
SN2013ej,2456646,18.46,0.11,F,B,,Tsinghua 0.8m NAOC,
SN2013ej,2456647,18.25,0.07,F,B,,Tsinghua 0.8m NAOC,
SN2013ej,2456648,18.38,0.05,F,B,,Tsinghua 0.8m NAOC,
SN2013ej,2456649,18.34,0.06,F,B,,Tsinghua 0.8m NAOC,
SN2013ej,2456651,18.44,0.07,F,B,,Tsinghua 0.8m NAOC,
SN2013ej,2456652,18.34,0.07,F,B,,Tsinghua 0.8m NAOC,
SN2013ej,2456657,18.41,0.06,F,B,,Tsinghua 0.8m NAOC,
SN2013ej,2456658,18.35,0.06,F,B,,Tsinghua 0.8m NAOC,
SN2013ej,2456659,18.42,0.12,F,B,,Tsinghua 0.8m NAOC,
SN2013ej,2456660,18.61,0.07,F,B,,Tsinghua 0.8m NAOC,
SN2013ej,2456661,18.41,0.13,F,B,,Tsinghua 0.8m NAOC,
SN2013ej,2456662,18.55,0.06,F,B,,Tsinghua 0.8m NAOC,
SN2013ej,2456504.28,12.58,0.03,F,V,,Lijiang 2.4m,
SN2013ej,2456506.38,12.49,0.04,F,V,,Lijiang 2.4m,
SN2013ej,2456507.32,12.48,0.12,F,V,,Lijiang 2.4m,
SN2013ej,2456517.31,12.52,0.04,F,V,,Lijiang 2.4m,
SN2013ej,2456521.24,12.61,0.05,F,V,,Lijiang 2.4m,
SN2013ej,2456537.01,13.22,0.06,F,V,,Lijiang 2.4m,
SN2013ej,2456564.14,13.57,0.07,F,V,,Lijiang 2.4m,
SN2013ej,2456573.25,13.74,0.05,F,V,,Tsinghua 0.8m NAOC,
SN2013ej,2456575.25,13.81,0.03,F,V,,Tsinghua 0.8m NAOC,
SN2013ej,2456576.25,13.81,0.03,F,V,,Tsinghua 0.8m NAOC,
SN2013ej,2456579.25,13.91,0.04,F,V,,Tsinghua 0.8m NAOC,
SN2013ej,2456585.25,14.05,0.04,F,V,,Tsinghua 0.8m NAOC,
SN2013ej,2456586.25,14.09,0.05,F,V,,Tsinghua 0.8m NAOC,
SN2013ej,2456588.25,14.19,0.03,F,V,,Tsinghua 0.8m NAOC,
SN2013ej,2456589.25,14.27,0.03,F,V,,Tsinghua 0.8m NAOC,
SN2013ej,2456601.25,16.02,0.03,F,V,,Tsinghua 0.8m NAOC,
SN2013ej,2456603,16.2,0.03,F,V,,Tsinghua 0.8m NAOC,
SN2013ej,2456606,16.39,0.02,F,V,,Tsinghua 0.8m NAOC,
SN2013ej,2456607.25,16.4,0.03,F,V,,Tsinghua 0.8m NAOC,
SN2013ej,2456608,16.45,0.04,F,V,,Tsinghua 0.8m NAOC,
SN2013ej,2456609.25,16.55,0.08,F,V,,Tsinghua 0.8m NAOC,
SN2013ej,2456613,16.6,0.08,F,V,,Tsinghua 0.8m NAOC,
SN2013ej,2456614.25,16.6,0.05,F,V,,Tsinghua 0.8m NAOC,
SN2013ej,2456616,16.61,0.04,F,V,,Tsinghua 0.8m NAOC,
SN2013ej,2456617,16.58,0.02,F,V,,Tsinghua 0.8m NAOC,
SN2013ej,2456618,16.58,0.04,F,V,,Tsinghua 0.8m NAOC,
SN2013ej,2456619,16.64,0.03,F,V,,Tsinghua 0.8m NAOC,
SN2013ej,2456621,16.64,0.03,F,V,,Tsinghua 0.8m NAOC,
SN2013ej,2456629,16.72,0.06,F,V,,Tsinghua 0.8m NAOC,
SN2013ej,2456631,16.81,0.04,F,V,,Tsinghua 0.8m NAOC,
SN2013ej,2456632,16.81,0.04,F,V,,Tsinghua 0.8m NAOC,
SN2013ej,2456633,16.79,0.04,F,V,,Tsinghua 0.8m NAOC,
SN2013ej,2456634,16.9,0.03,F,V,,Tsinghua 0.8m NAOC,
SN2013ej,2456641,17.01,0.06,F,V,,Tsinghua 0.8m NAOC,
SN2013ej,2456643,17.07,0.06,F,V,,Tsinghua 0.8m NAOC,
SN2013ej,2456645,17.04,0.04,F,V,,Tsinghua 0.8m NAOC,
SN2013ej,2456646,17.16,0.04,F,V,,Tsinghua 0.8m NAOC,
SN2013ej,2456647,17.12,0.04,F,V,,Tsinghua 0.8m NAOC,
SN2013ej,2456648,17.1,0.03,F,V,,Tsinghua 0.8m NAOC,
SN2013ej,2456649,17.03,0.05,F,V,,Tsinghua 0.8m NAOC,
SN2013ej,2456651,17.13,0.03,F,V,,Tsinghua 0.8m NAOC,
SN2013ej,2456652,17.11,0.03,F,V,,Tsinghua 0.8m NAOC,
SN2013ej,2456657,17.2,0.05,F,V,,Tsinghua 0.8m NAOC,
SN2013ej,2456658,17.22,0.06,F,V,,Tsinghua 0.8m NAOC,
SN2013ej,2456659,17.23,0.07,F,V,,Tsinghua 0.8m NAOC,
SN2013ej,2456660,17.26,0.04,F,V,,Tsinghua 0.8m NAOC,
SN2013ej,2456661,17.21,0.06,F,V,,Tsinghua 0.8m NAOC,
SN2013ej,2456662,17.32,0.04,F,V,,Tsinghua 0.8m NAOC,
SN2013ej,2456504.28,12.66,0.04,F,R,,Lijiang 2.4m,
SN2013ej,2456506.38,12.44,0.08,F,R,,Lijiang 2.4m,
SN2013ej,2456507.32,12.28,0.09,F,R,,Lijiang 2.4m,
SN2013ej,2456517.31,12.31,0.09,F,R,,Lijiang 2.4m,
SN2013ej,2456521.24,12.45,0.07,F,R,,Lijiang 2.4m,
SN2013ej,2456537.01,12.88,0.07,F,R,,Lijiang 2.4m,
SN2013ej,2456564.14,13.2,0.06,F,R,,Lijiang 2.4m,
SN2013ej,2456573.25,13.33,0.05,F,R,,Tsinghua 0.8m NAOC,
SN2013ej,2456575.25,13.28,0.04,F,R,,Tsinghua 0.8m NAOC,
SN2013ej,2456576.25,13.35,0.05,F,R,,Tsinghua 0.8m NAOC,
SN2013ej,2456579.25,13.4,0.05,F,R,,Tsinghua 0.8m NAOC,
SN2013ej,2456585.25,13.6,0.05,F,R,,Tsinghua 0.8m NAOC,
SN2013ej,2456586.25,13.66,0.04,F,R,,Tsinghua 0.8m NAOC,
SN2013ej,2456588.25,13.59,0.03,F,R,,Tsinghua 0.8m NAOC,
SN2013ej,2456589.25,13.71,0.03,F,R,,Tsinghua 0.8m NAOC,
SN2013ej,2456601.25,15.15,0.04,F,R,,Tsinghua 0.8m NAOC,
SN2013ej,2456603,15.36,0.03,F,R,,Tsinghua 0.8m NAOC,
SN2013ej,2456606,15.42,0.03,F,R,,Tsinghua 0.8m NAOC,
SN2013ej,2456607.25,15.43,0.04,F,R,,Tsinghua 0.8m NAOC,
SN2013ej,2456608,15.52,0.06,F,R,,Tsinghua 0.8m NAOC,
SN2013ej,2456609.25,15.45,0.06,F,R,,Tsinghua 0.8m NAOC,
SN2013ej,2456613,15.6,0.05,F,R,,Tsinghua 0.8m NAOC,
SN2013ej,2456614.25,15.58,0.05,F,R,,Tsinghua 0.8m NAOC,
SN2013ej,2456616,15.64,0.06,F,R,,Tsinghua 0.8m NAOC,
SN2013ej,2456617,15.66,0.02,F,R,,Tsinghua 0.8m NAOC,
SN2013ej,2456618,15.57,0.03,F,R,,Tsinghua 0.8m NAOC,
SN2013ej,2456619,15.69,0.04,F,R,,Tsinghua 0.8m NAOC,
SN2013ej,2456621,15.69,0.04,F,R,,Tsinghua 0.8m NAOC,
SN2013ej,2456629,15.76,0.03,F,R,,Tsinghua 0.8m NAOC,
SN2013ej,2456631,15.79,0.04,F,R,,Tsinghua 0.8m NAOC,
SN2013ej,2456632,15.78,0.02,F,R,,Tsinghua 0.8m NAOC,
SN2013ej,2456633,15.79,0.04,F,R,,Tsinghua 0.8m NAOC,
SN2013ej,2456634,15.86,0.03,F,R,,Tsinghua 0.8m NAOC,
SN2013ej,2456641,15.97,0.05,F,R,,Tsinghua 0.8m NAOC,
SN2013ej,2456643,15.91,0.04,F,R,,Tsinghua 0.8m NAOC,
SN2013ej,2456645,15.98,0.03,F,R,,Tsinghua 0.8m NAOC,
SN2013ej,2456646,16.04,0.03,F,R,,Tsinghua 0.8m NAOC,
SN2013ej,2456647,16.09,0.04,F,R,,Tsinghua 0.8m NAOC,
SN2013ej,2456648,16.15,0.04,F,R,,Tsinghua 0.8m NAOC,
SN2013ej,2456649,16.13,0.06,F,R,,Tsinghua 0.8m NAOC,
SN2013ej,2456651,16.12,0.04,F,R,,Tsinghua 0.8m NAOC,
SN2013ej,2456652,16.08,0.03,F,R,,Tsinghua 0.8m NAOC,
SN2013ej,2456657,16.23,0.04,F,R,,Tsinghua 0.8m NAOC,
SN2013ej,2456658,16.24,0.04,F,R,,Tsinghua 0.8m NAOC,
SN2013ej,2456659,16.23,0.07,F,R,,Tsinghua 0.8m NAOC,
SN2013ej,2456660,16.23,0.05,F,R,,Tsinghua 0.8m NAOC,
SN2013ej,2456661,16.19,0.05,F,R,,Tsinghua 0.8m NAOC,
SN2013ej,2456662,16.32,0.03,F,R,,Tsinghua 0.8m NAOC,
SN2013ej,2456504.28,12.572,0.03,F,I,,Lijiang 2.4m,
SN2013ej,2456506.38,12.31,0.06,F,I,,Lijiang 2.4m,
SN2013ej,2456507.32,12.211,0.08,F,I,,Lijiang 2.4m,
SN2013ej,2456517.31,12.203,0.09,F,I,,Lijiang 2.4m,
SN2013ej,2456521.24,12.183,0.09,F,I,,Lijiang 2.4m,
SN2013ej,2456537.01,12.381,0.06,F,I,,Lijiang 2.4m,
SN2013ej,2456564.14,12.599,0.07,F,I,,Lijiang 2.4m,
SN2013ej,2456573.25,13.124,0.07,F,I,,Tsinghua 0.8m NAOC,
SN2013ej,2456575.25,13.015,0.03,F,I,,Tsinghua 0.8m NAOC,
SN2013ej,2456576.25,13.053,0.06,F,I,,Tsinghua 0.8m NAOC,
SN2013ej,2456579.25,13.088,0.06,F,I,,Tsinghua 0.8m NAOC,
SN2013ej,2456585.25,13.246,0.02,F,I,,Tsinghua 0.8m NAOC,
SN2013ej,2456586.25,13.407,0.04,F,I,,Tsinghua 0.8m NAOC,
SN2013ej,2456588.25,13.328,0.02,F,I,,Tsinghua 0.8m NAOC,
SN2013ej,2456589.25,13.303,0.04,F,I,,Tsinghua 0.8m NAOC,
SN2013ej,2456601.25,14.797,0.03,F,I,,Tsinghua 0.8m NAOC,
SN2013ej,2456603,14.969,0.03,F,I,,Tsinghua 0.8m NAOC,
SN2013ej,2456606,15.093,0.04,F,I,,Tsinghua 0.8m NAOC,
SN2013ej,2456607.25,15.049,0.04,F,I,,Tsinghua 0.8m NAOC,
SN2013ej,2456608,15.157,0.04,F,I,,Tsinghua 0.8m NAOC,
SN2013ej,2456613,15.26,0.05,F,I,,Tsinghua 0.8m NAOC,
SN2013ej,2456614.25,15.23,0.04,F,I,,Tsinghua 0.8m NAOC,
SN2013ej,2456616,15.2,0.03,F,I,,Tsinghua 0.8m NAOC,
SN2013ej,2456617,15.26,0.04,F,I,,Tsinghua 0.8m NAOC,
SN2013ej,2456618,15.25,0.02,F,I,,Tsinghua 0.8m NAOC,
SN2013ej,2456619,15.32,0.03,F,I,,Tsinghua 0.8m NAOC,
SN2013ej,2456621,15.38,0.03,F,I,,Tsinghua 0.8m NAOC,
SN2013ej,2456629,15.47,0.03,F,I,,Tsinghua 0.8m NAOC,
SN2013ej,2456631,15.64,0.04,F,I,,Tsinghua 0.8m NAOC,
SN2013ej,2456632,15.58,0.04,F,I,,Tsinghua 0.8m NAOC,
SN2013ej,2456634,15.57,0.03,F,I,,Tsinghua 0.8m NAOC,
SN2013ej,2456641,15.66,0.02,F,I,,Tsinghua 0.8m NAOC,
SN2013ej,2456643,15.67,0.02,F,I,,Tsinghua 0.8m NAOC,
SN2013ej,2456645,15.71,0.02,F,I,,Tsinghua 0.8m NAOC,
SN2013ej,2456646,15.69,0.03,F,I,,Tsinghua 0.8m NAOC,
SN2013ej,2456647,15.79,0.03,F,I,,Tsinghua 0.8m NAOC,
SN2013ej,2456648,15.83,0.02,F,I,,Tsinghua 0.8m NAOC,
SN2013ej,2456649,15.78,0.03,F,I,,Tsinghua 0.8m NAOC,
SN2013ej,2456651,15.89,0.04,F,I,,Tsinghua 0.8m NAOC,
SN2013ej,2456652,15.81,0.03,F,I,,Tsinghua 0.8m NAOC,
SN2013ej,2456657,15.97,0.03,F,I,,Tsinghua 0.8m NAOC,
SN2013ej,2456658,16.01,0.04,F,I,,Tsinghua 0.8m NAOC,
SN2013ej,2456659,16.01,0.05,F,I,,Tsinghua 0.8m NAOC,
SN2013ej,2456660,16.01,0.04,F,I,,Tsinghua 0.8m NAOC,
SN2013ej,2456661,16.03,0.05,F,I,,Tsinghua 0.8m NAOC,
SN2013ej,2456662,16.05,0.02,F,I,,Tsinghua 0.8m NAOC,
SN2013ej,2456504.46,12.37,0.04,F,uvw2,,Swift,UVOT
SN2013ej,2456505.32,12.58,0.03,F,uvw2,,Swift,UVOT
SN2013ej,2456507.55,13.05,0.04,F,uvw2,,Swift,UVOT
SN2013ej,2456509.34,13.38,0.04,F,uvw2,,Swift,UVOT
SN2013ej,2456511.95,13.93,0.05,F,uvw2,,Swift,UVOT
SN2013ej,2456512.68,14.12,0.05,F,uvw2,,Swift,UVOT
SN2013ej,2456513.71,14.39,0.05,F,uvw2,,Swift,UVOT
SN2013ej,2456516.28,15.11,0.08,F,uvw2,,Swift,UVOT
SN2013ej,2456518.33,15.65,0.08,F,uvw2,,Swift,UVOT
SN2013ej,2456520.49,16.21,0.09,F,uvw2,,Swift,UVOT
SN2013ej,2456522.15,16.59,0.1,F,uvw2,,Swift,UVOT
SN2013ej,2456524.22,16.82,0.11,F,uvw2,,Swift,UVOT
SN2013ej,2456527.34,17.21,0.12,F,uvw2,,Swift,UVOT
SN2013ej,2456532.24,17.75,0.15,F,uvw2,,Swift,UVOT
SN2013ej,2456541.91,18.13,0.12,F,uvw2,,Swift,UVOT
SN2013ej,2456552.23,18.69,0.16,F,uvw2,,Swift,UVOT
SN2013ej,2456561.94,18.79,0.17,F,uvw2,,Swift,UVOT
SN2013ej,2456572.32,19.24,0.23,F,uvw2,,Swift,UVOT
SN2013ej,2456582.28,19.29,0.25,F,uvw2,,Swift,UVOT
SN2013ej,2456504.46,12.02,0.04,F,uvm2,,Swift,UVOT
SN2013ej,2456505.32,12.2,0.04,F,uvm2,,Swift,UVOT
SN2013ej,2456507.55,12.7,0.04,F,uvm2,,Swift,UVOT
SN2013ej,2456509.34,13.16,0.05,F,uvm2,,Swift,UVOT
SN2013ej,2456512.68,13.97,0.06,F,uvm2,,Swift,UVOT
SN2013ej,2456513.71,14.41,0.06,F,uvm2,,Swift,UVOT
SN2013ej,2456516.28,15.15,0.08,F,uvm2,,Swift,UVOT
SN2013ej,2456518.33,15.96,0.07,F,uvm2,,Swift,UVOT
SN2013ej,2456522.15,17.11,0.2,F,uvm2,,Swift,UVOT
SN2013ej,2456524.22,17.55,0.22,F,uvm2,,Swift,UVOT
SN2013ej,2456527.34,18.22,0.17,F,uvm2,,Swift,UVOT
SN2013ej,2456532.24,18.57,0.21,F,uvm2,,Swift,UVOT
SN2013ej,2456541.91,19.14,0.19,F,uvm2,,Swift,UVOT
SN2013ej,2456552.23,19.49,0.24,F,uvm2,,Swift,UVOT
SN2013ej,2456572.32,19.88,0.33,F,uvm2,,Swift,UVOT
SN2013ej,2456504.46,11.71,0.04,F,uvw1,,Swift,UVOT
SN2013ej,2456505.32,11.81,0.03,F,uvw1,,Swift,UVOT
SN2013ej,2456511.95,12.95,0.04,F,uvw1,,Swift,UVOT
SN2013ej,2456512.68,13.13,0.04,F,uvw1,,Swift,UVOT
SN2013ej,2456513.71,13.38,0.04,F,uvw1,,Swift,UVOT
SN2013ej,2456516.28,13.91,0.05,F,uvw1,,Swift,UVOT
SN2013ej,2456518.33,14.45,0.06,F,uvw1,,Swift,UVOT
SN2013ej,2456520.49,14.91,0.07,F,uvw1,,Swift,UVOT
SN2013ej,2456522.15,15.2,0.07,F,uvw1,,Swift,UVOT
SN2013ej,2456524.22,15.49,0.08,F,uvw1,,Swift,UVOT
SN2013ej,2456527.34,15.88,0.08,F,uvw1,,Swift,UVOT
SN2013ej,2456532.24,16.36,0.1,F,uvw1,,Swift,UVOT
SN2013ej,2456541.91,16.79,0.08,F,uvw1,,Swift,UVOT
SN2013ej,2456552.23,17.29,0.1,F,uvw1,,Swift,UVOT
SN2013ej,2456561.94,17.56,0.12,F,uvw1,,Swift,UVOT
SN2013ej,2456572.32,17.92,0.13,F,uvw1,,Swift,UVOT
SN2013ej,2456582.28,18.13,0.17,F,uvw1,,Swift,UVOT
SN2013ej,2456592.43,18.25,0.19,F,uvw1,,Swift,UVOT
SN2013ej,2456610.18,19.52,0.35,F,uvw1,,Swift,UVOT
SN2013ej,2456626.59,19.73,0.31,F,uvw1,,Swift,UVOT
SN2013ej,2456636.15,19.81,0.33,F,uvw1,,Swift,UVOT
SN2013ej,2456507.55,11.68,0.03,F,U,,Swift,UVOT
SN2013ej,2456509.34,11.81,0.03,F,U,,Swift,UVOT
SN2013ej,2456512.68,12.2,0.03,F,U,,Swift,UVOT
SN2013ej,2456513.71,12.33,0.03,F,U,,Swift,UVOT
SN2013ej,2456516.28,12.66,0.03,F,U,,Swift,UVOT
SN2013ej,2456518.33,12.98,0.03,F,U,,Swift,UVOT
SN2013ej,2456520.49,13.31,0.03,F,U,,Swift,UVOT
SN2013ej,2456522.15,13.6,0.03,F,U,,Swift,UVOT
SN2013ej,2456524.22,13.96,0.03,F,U,,Swift,UVOT
SN2013ej,2456527.34,14.35,0.05,F,U,,Swift,UVOT
SN2013ej,2456532.24,14.84,0.06,F,U,,Swift,UVOT
SN2013ej,2456541.91,15.57,0.07,F,U,,Swift,UVOT
SN2013ej,2456552.23,16.29,0.07,F,U,,Swift,UVOT
SN2013ej,2456561.94,16.59,0.09,F,U,,Swift,UVOT
SN2013ej,2456572.32,17.06,0.09,F,U,,Swift,UVOT
SN2013ej,2456582.28,17.41,0.12,F,U,,Swift,UVOT
SN2013ej,2456592.43,17.51,0.17,F,U,,Swift,UVOT
SN2013ej,2456610.18,19.06,0.31,F,U,,Swift,UVOT
SN2013ej,2456616.86,18.98,0.21,F,U,,Swift,UVOT
SN2013ej,2456622,19.16,0.32,F,U,,Swift,UVOT
SN2013ej,2456626.59,19.34,0.28,F,U,,Swift,UVOT
SN2013ej,2456636.15,19.34,0.27,F,U,,Swift,UVOT
SN2013ej,2456507.55,12.62,0.03,F,B,,Swift,UVOT
SN2013ej,2456509.34,12.61,0.03,F,B,,Swift,UVOT
SN2013ej,2456512.68,12.75,0.03,F,B,,Swift,UVOT
SN2013ej,2456513.71,12.91,0.03,F,B,,Swift,UVOT
SN2013ej,2456516.28,12.98,0.03,F,B,,Swift,UVOT
SN2013ej,2456518.33,13.11,0.03,F,B,,Swift,UVOT
SN2013ej,2456520.49,13.22,0.03,F,B,,Swift,UVOT
SN2013ej,2456522.15,13.29,0.03,F,B,,Swift,UVOT
SN2013ej,2456524.22,13.48,0.03,F,B,,Swift,UVOT
SN2013ej,2456527.34,13.63,0.03,F,B,,Swift,UVOT
SN2013ej,2456532.24,13.92,0.03,F,B,,Swift,UVOT
SN2013ej,2456541.91,14.37,0.03,F,B,,Swift,UVOT
SN2013ej,2456552.23,14.75,0.04,F,B,,Swift,UVOT
SN2013ej,2456561.94,14.92,0.04,F,B,,Swift,UVOT
SN2013ej,2456582.28,15.46,0.06,F,B,,Swift,UVOT
SN2013ej,2456610.18,17.97,0.21,F,B,,Swift,UVOT
SN2013ej,2456616.86,17.89,0.09,F,B,,Swift,UVOT
SN2013ej,2456626.59,18.16,0.1,F,B,,Swift,UVOT
SN2013ej,2456636.15,18.2,0.1,F,B,,Swift,UVOT
SN2013ej,2456504.46,12.69,0.04,F,V,,Swift,UVOT
SN2013ej,2456505.32,12.61,0.04,F,V,,Swift,UVOT
SN2013ej,2456512.68,12.48,0.03,F,V,,Swift,UVOT
SN2013ej,2456513.71,12.54,0.03,F,V,,Swift,UVOT
SN2013ej,2456516.28,12.58,0.03,F,V,,Swift,UVOT
SN2013ej,2456518.33,12.6,0.03,F,V,,Swift,UVOT
SN2013ej,2456520.49,12.57,0.03,F,V,,Swift,UVOT
SN2013ej,2456522.15,12.66,0.03,F,V,,Swift,UVOT
SN2013ej,2456524.22,12.69,0.03,F,V,,Swift,UVOT
SN2013ej,2456527.34,12.89,0.03,F,V,,Swift,UVOT
SN2013ej,2456532.24,12.97,0.04,F,V,,Swift,UVOT
SN2013ej,2456541.91,13.23,0.04,F,V,,Swift,UVOT
SN2013ej,2456552.23,13.47,0.04,F,V,,Swift,UVOT
SN2013ej,2456561.94,13.6,0.04,F,V,,Swift,UVOT
SN2013ej,2456582.28,14.03,0.05,F,V,,Swift,UVOT
SN2013ej,2456610.18,16.64,0.07,F,V,,Swift,UVOT
SN2013ej,2456616.86,16.72,0.08,F,V,,Swift,UVOT
SN2013ej,2456626.59,16.83,0.08,F,V,,Swift,UVOT
SN2013ej,2456636.15,16.93,0.09,F,V,,Swift,UVOT
SN2013ej,2456521.77,11.87,0.3,F,J,,3.58 m ESO NTT,SOFI
SN2013ej,2456533.7,11.99,0.21,F,J,,3.58 m ESO NTT,SOFI
SN2013ej,2456569.73,12.3,0.29,F,J,,3.58 m ESO NTT,SOFI
SN2013ej,2456599.56,13.83,0.29,F,J,,3.58 m ESO NTT,SOFI
SN2013ej,2456609.74,14.45,0.18,F,J,,3.58 m ESO NTT,SOFI
SN2013ej,2456636.53,15.1,0.16,F,J,,3.58 m ESO NTT,SOFI
SN2013ej,2456682.52,15.95,0.27,F,J,,3.58 m ESO NTT,SOFI
SN2013ej,2456521.77,11.97,0.27,F,H,,3.58 m ESO NTT,SOFI
SN2013ej,2456533.7,11.89,0.39,F,H,,3.58 m ESO NTT,SOFI
SN2013ej,2456569.73,12.33,0.31,F,H,,3.58 m ESO NTT,SOFI
SN2013ej,2456599.56,13.75,0.41,F,H,,3.58 m ESO NTT,SOFI
SN2013ej,2456609.74,14.24,0.31,F,H,,3.58 m ESO NTT,SOFI
SN2013ej,2456636.53,14.71,0.39,F,H,,3.58 m ESO NTT,SOFI
SN2013ej,2456682.52,15.8,0.4,F,H,,3.58 m ESO NTT,SOFI
SN2013ej,2456521.77,11.87,0.3,F,K,,3.58 m ESO NTT,SOFI
SN2013ej,2456533.7,11.52,0.21,F,K,,3.58 m ESO NTT,SOFI
SN2013ej,2456569.73,12.08,0.29,F,K,,3.58 m ESO NTT,SOFI
