#event,time,magnitude,magnitude error,upper limit,band,instrument,telescope
iPTF13ebh,56610.13,18.466,0.024,F,B,e2v,Swope
iPTF13ebh,56610.13,18.101,0.021,F,V,e2v,Swope
iPTF13ebh,56610.13,20.082,0.172,F,u,e2v,Swope
iPTF13ebh,56610.13,18.230,0.017,F,g,e2v,Swope
iPTF13ebh,56610.13,18.027,0.020,F,r,e2v,Swope
iPTF13ebh,56610.13,18.309,0.046,F,i,e2v,Swope
iPTF13ebh,56611.12,17.803,0.020,F,B,e2v,Swope
iPTF13ebh,56611.12,17.501,0.015,F,V,e2v,Swope
iPTF13ebh,56611.12,17.595,0.013,F,g,e2v,Swope
iPTF13ebh,56611.12,17.435,0.018,F,r,e2v,Swope
iPTF13ebh,56611.12,17.632,0.029,F,i,e2v,Swope
iPTF13ebh,56612.14,17.332,0.014,F,B,e2v,Swope
iPTF13ebh,56612.14,17.134,0.014,F,V,e2v,Swope
iPTF13ebh,56612.14,18.265,0.063,F,u,e2v,Swope
iPTF13ebh,56612.14,17.193,0.013,F,g,e2v,Swope
iPTF13ebh,56612.14,17.056,0.012,F,r,e2v,Swope
iPTF13ebh,56612.14,17.166,0.019,F,i,e2v,Swope
iPTF13ebh,56613.19,16.937,0.019,F,B,e2v,Swope
iPTF13ebh,56613.19,16.768,0.013,F,V,e2v,Swope
iPTF13ebh,56613.19,16.803,0.011,F,g,e2v,Swope
iPTF13ebh,56613.19,16.654,0.011,F,r,e2v,Swope
iPTF13ebh,56613.19,16.740,0.013,F,i,e2v,Swope
iPTF13ebh,56614.10,16.604,0.009,F,B,e2v,Swope
iPTF13ebh,56614.10,16.482,0.008,F,V,e2v,Swope
iPTF13ebh,56614.10,17.247,0.023,F,u,e2v,Swope
iPTF13ebh,56614.10,16.497,0.008,F,g,e2v,Swope
iPTF13ebh,56614.10,16.362,0.007,F,r,e2v,Swope
iPTF13ebh,56614.10,16.447,0.011,F,i,e2v,Swope
iPTF13ebh,56615.13,16.327,0.009,F,B,e2v,Swope
iPTF13ebh,56615.13,16.184,0.007,F,V,e2v,Swope
iPTF13ebh,56615.13,16.192,0.006,F,g,e2v,Swope
iPTF13ebh,56615.13,16.057,0.006,F,r,e2v,Swope
iPTF13ebh,56615.13,16.147,0.008,F,i,e2v,Swope
iPTF13ebh,56617.12,15.841,0.006,F,B,e2v,Swope
iPTF13ebh,56617.12,15.720,0.007,F,V,e2v,Swope
iPTF13ebh,56617.12,15.711,0.006,F,g,e2v,Swope
iPTF13ebh,56617.12,15.609,0.008,F,r,e2v,Swope
iPTF13ebh,56617.12,15.722,0.016,F,i,e2v,Swope
iPTF13ebh,56618.12,15.656,0.005,F,B,e2v,Swope
iPTF13ebh,56618.12,15.560,0.006,F,V,e2v,Swope
iPTF13ebh,56618.12,16.256,0.009,F,u,e2v,Swope
iPTF13ebh,56618.12,15.539,0.005,F,g,e2v,Swope
iPTF13ebh,56618.12,15.441,0.006,F,r,e2v,Swope
iPTF13ebh,56618.12,15.603,0.007,F,i,e2v,Swope
iPTF13ebh,56619.10,15.541,0.006,F,B,e2v,Swope
iPTF13ebh,56619.10,15.411,0.009,F,V,e2v,Swope
iPTF13ebh,56619.10,16.145,0.009,F,u,e2v,Swope
iPTF13ebh,56619.10,15.395,0.008,F,g,e2v,Swope
iPTF13ebh,56619.10,15.288,0.009,F,r,e2v,Swope
iPTF13ebh,56619.10,15.474,0.013,F,i,e2v,Swope
iPTF13ebh,56620.11,15.442,0.007,F,B,e2v,Swope
iPTF13ebh,56620.11,15.352,0.008,F,V,e2v,Swope
iPTF13ebh,56620.11,16.112,0.012,F,u,e2v,Swope
iPTF13ebh,56620.11,15.304,0.007,F,g,e2v,Swope
iPTF13ebh,56620.11,15.210,0.012,F,r,e2v,Swope
iPTF13ebh,56620.11,15.486,0.012,F,i,e2v,Swope
iPTF13ebh,56621.11,15.368,0.007,F,B,e2v,Swope
iPTF13ebh,56621.11,15.278,0.006,F,V,e2v,Swope
iPTF13ebh,56621.11,16.111,0.029,F,u,e2v,Swope
iPTF13ebh,56621.11,15.296,0.006,F,g,e2v,Swope
iPTF13ebh,56621.11,15.168,0.006,F,r,e2v,Swope
iPTF13ebh,56621.11,15.505,0.018,F,i,e2v,Swope
iPTF13ebh,56622.10,15.343,0.005,F,B,e2v,Swope
iPTF13ebh,56622.10,15.216,0.005,F,V,e2v,Swope
iPTF13ebh,56622.10,16.142,0.009,F,u,e2v,Swope
iPTF13ebh,56622.10,15.202,0.005,F,g,e2v,Swope
iPTF13ebh,56622.10,15.109,0.006,F,r,e2v,Swope
iPTF13ebh,56622.10,15.423,0.007,F,i,e2v,Swope
iPTF13ebh,56623.09,15.343,0.006,F,B,e2v,Swope
iPTF13ebh,56623.09,15.181,0.008,F,V,e2v,Swope
iPTF13ebh,56623.09,16.191,0.011,F,u,e2v,Swope
iPTF13ebh,56623.09,15.189,0.005,F,g,e2v,Swope
iPTF13ebh,56623.09,15.099,0.009,F,r,e2v,Swope
iPTF13ebh,56623.09,15.469,0.011,F,i,e2v,Swope
iPTF13ebh,56624.07,15.361,0.007,F,B,e2v,Swope
iPTF13ebh,56624.07,15.167,0.006,F,V,e2v,Swope
iPTF13ebh,56624.07,16.270,0.013,F,u,e2v,Swope
iPTF13ebh,56624.07,15.185,0.005,F,g,e2v,Swope
iPTF13ebh,56624.07,15.068,0.006,F,r,e2v,Swope
iPTF13ebh,56624.07,15.480,0.010,F,i,e2v,Swope
iPTF13ebh,56625.09,15.401,0.006,F,B,e2v,Swope
iPTF13ebh,56625.09,15.176,0.006,F,V,e2v,Swope
iPTF13ebh,56625.09,16.397,0.014,F,u,e2v,Swope
iPTF13ebh,56625.09,15.211,0.005,F,g,e2v,Swope
iPTF13ebh,56625.09,15.059,0.007,F,r,e2v,Swope
iPTF13ebh,56625.09,15.507,0.009,F,i,e2v,Swope
iPTF13ebh,56630.08,15.956,0.011,F,B,e2v,Swope
iPTF13ebh,56630.08,15.388,0.012,F,V,e2v,Swope
iPTF13ebh,56630.08,17.190,0.026,F,u,e2v,Swope
iPTF13ebh,56630.08,15.622,0.010,F,g,e2v,Swope
iPTF13ebh,56630.08,15.322,0.012,F,r,e2v,Swope
iPTF13ebh,56630.08,15.841,0.016,F,i,e2v,Swope
iPTF13ebh,56631.09,16.124,0.007,F,B,e2v,Swope
iPTF13ebh,56631.09,15.430,0.006,F,V,e2v,Swope
iPTF13ebh,56631.09,17.421,0.021,F,u,e2v,Swope
iPTF13ebh,56631.09,15.703,0.006,F,g,e2v,Swope
iPTF13ebh,56631.09,15.360,0.007,F,r,e2v,Swope
iPTF13ebh,56631.09,15.846,0.013,F,i,e2v,Swope
iPTF13ebh,56632.09,16.280,0.008,F,B,e2v,Swope
iPTF13ebh,56632.09,15.509,0.007,F,V,e2v,Swope
iPTF13ebh,56632.09,17.492,0.015,F,u,e2v,Swope
iPTF13ebh,56632.09,15.818,0.005,F,g,e2v,Swope
iPTF13ebh,56632.09,15.430,0.008,F,r,e2v,Swope
iPTF13ebh,56632.09,15.883,0.011,F,i,e2v,Swope
iPTF13ebh,56633.08,16.442,0.011,F,B,e2v,Swope
iPTF13ebh,56633.08,15.607,0.008,F,V,e2v,Swope
iPTF13ebh,56633.08,17.711,0.018,F,u,e2v,Swope
iPTF13ebh,56633.08,15.953,0.009,F,g,e2v,Swope
iPTF13ebh,56633.08,15.462,0.010,F,r,e2v,Swope
iPTF13ebh,56633.08,15.895,0.013,F,i,e2v,Swope
iPTF13ebh,56635.08,16.781,0.014,F,B,e2v,Swope
iPTF13ebh,56635.08,15.794,0.007,F,V,e2v,Swope
iPTF13ebh,56635.08,18.116,0.030,F,u,e2v,Swope
iPTF13ebh,56635.08,16.252,0.006,F,g,e2v,Swope
iPTF13ebh,56635.08,15.558,0.006,F,r,e2v,Swope
iPTF13ebh,56635.08,15.895,0.009,F,i,e2v,Swope
iPTF13ebh,56636.08,16.925,0.014,F,B,e2v,Swope
iPTF13ebh,56636.08,15.860,0.009,F,V,e2v,Swope
iPTF13ebh,56636.08,18.266,0.036,F,u,e2v,Swope
iPTF13ebh,56636.08,16.392,0.008,F,g,e2v,Swope
iPTF13ebh,56636.08,15.612,0.009,F,r,e2v,Swope
iPTF13ebh,56636.08,15.867,0.013,F,i,e2v,Swope
iPTF13ebh,56637.07,17.107,0.021,F,B,e2v,Swope
iPTF13ebh,56637.07,15.958,0.008,F,V,e2v,Swope
iPTF13ebh,56637.07,18.307,0.047,F,u,e2v,Swope
iPTF13ebh,56637.07,16.514,0.008,F,g,e2v,Swope
iPTF13ebh,56637.07,15.653,0.006,F,r,e2v,Swope
iPTF13ebh,56637.07,15.859,0.008,F,i,e2v,Swope
iPTF13ebh,56638.10,17.224,0.017,F,B,e2v,Swope
iPTF13ebh,56638.10,16.050,0.008,F,V,e2v,Swope
iPTF13ebh,56638.10,18.535,0.034,F,u,e2v,Swope
iPTF13ebh,56638.10,16.678,0.010,F,g,e2v,Swope
iPTF13ebh,56638.10,15.693,0.008,F,r,e2v,Swope
iPTF13ebh,56638.10,15.862,0.011,F,i,e2v,Swope
iPTF13ebh,56640.06,17.447,0.023,F,B,e2v,Swope
iPTF13ebh,56640.06,16.206,0.014,F,V,e2v,Swope
iPTF13ebh,56640.06,18.668,0.047,F,u,e2v,Swope
iPTF13ebh,56640.06,16.880,0.012,F,g,e2v,Swope
iPTF13ebh,56640.06,15.804,0.008,F,r,e2v,Swope
iPTF13ebh,56640.06,15.886,0.009,F,i,e2v,Swope
iPTF13ebh,56641.09,17.553,0.031,F,B,e2v,Swope
iPTF13ebh,56641.09,16.295,0.011,F,V,e2v,Swope
iPTF13ebh,56641.09,18.941,0.084,F,u,e2v,Swope
