event,mjd,magnitude,e_magnitude,upper limit,band,instrument,telescope
SN2012ab,55955.36,18.3,,T,R,,ROTSE
SN2012ab,55956.36,18.7,,T,R,,ROTSE
SN2012ab,55957.37,17.4,,T,R,,ROTSE
SN2012ab,55958.36,16.13,0.05,,R,,ROTSE
SN2012ab,55959.36,15.57,0.03,,R,,ROTSE
SN2012ab,55960.34,15.39,0.05,,R,,ROTSE
SN2012ab,55971.41,15.44,0.03,,R,,ROTSE
SN2012ab,55972.35,15.73,0.03,,R,,ROTSE
SN2012ab,55973.31,15.53,0.05,,R,,ROTSE
SN2012ab,55976.31,15.53,0.03,,R,,ROTSE
SN2012ab,55978.3,15.38,0.03,,R,,ROTSE
SN2012ab,55979.3,15.53,0.02,,R,,ROTSE
SN2012ab,55982.29,15.52,0.03,,R,,ROTSE
SN2012ab,55984.28,15.32,0.03,,R,,ROTSE
SN2012ab,55986.35,15.4,0.06,,R,,ROTSE
SN2012ab,55987.27,15.49,0.04,,R,,ROTSE
SN2012ab,55988.29,15.53,0.05,,R,,ROTSE
SN2012ab,55990.26,15.71,0.05,,R,,ROTSE
SN2012ab,55992.25,15.36,0.12,,R,,ROTSE
SN2012ab,55993.25,15.54,0.1,,R,,ROTSE
SN2012ab,55997.29,15.94,0.06,,R,,ROTSE
SN2012ab,55998.24,15.33,0.04,,R,,ROTSE
SN2012ab,56002.24,15.82,0.04,,R,,ROTSE
SN2012ab,56009.22,15.39,0.05,,R,,ROTSE
SN2012ab,56010.22,15.78,0.03,,R,,ROTSE
SN2012ab,56012.28,15.63,0.18,,R,,ROTSE
SN2012ab,56014.2,16.06,0.04,,R,,ROTSE
SN2012ab,56016.2,15.92,0.07,,R,,ROTSE
SN2012ab,56017.2,16.29,0.08,,R,,ROTSE
SN2012ab,56019.19,15.76,0.12,,R,,ROTSE
SN2012ab,56021.18,16.02,0.08,,R,,ROTSE
SN2012ab,56028.26,16.4,0.13,,R,,ROTSE
SN2012ab,56034.23,16.54,0.11,,R,,ROTSE
SN2012ab,56035.26,17.03,0.12,,R,,ROTSE
SN2012ab,56041.16,16.4,,T,R,,ROTSE
SN2012ab,56047.14,16.5,,T,R,,ROTSE
SN2012ab,56048.22,16.7,,T,R,,ROTSE
SN2012ab,56064.17,16.5,,T,R,,ROTSE
