event,jd,magnitude,e_magnitude,band,telescope
SN1990I,2448084.5,18.63,0.05,B,CTIO-0.91 m
SN1990I,2448084.5,17.71,0.03,V,CTIO-0.91 m
SN1990I,2448084.5,17.20,0.03,R,CTIO-0.91 m
SN1990I,2448084.5,16.56,0.03,I,CTIO-0.91 m
SN1990I,2448098.5,18.78,0.05,B,ESO-3.6 m
SN1990I,2448098.5,17.94,0.03,V,ESO-3.6 m
SN1990I,2448098.5,17.42,0.03,R,ESO-3.6 m
SN1990I,2448104.5,18.98,0.05,B,CIO-0.91 m
SN1990I,2448104.5,18.15,0.03,V,CIO-0.91 m
SN1990I,2448104.5,17.55,0.03,R,CIO-0.91 m
SN1990I,2448104.5,16.92,0.03,I,CIO-0.91 m
SN1990I,2448115.5,19.11,0.05,B,CTIO-0.91 m
SN1990I,2448115.5,18.30,0.03,V,CTIO-0.91 m
SN1990I,2448115.5,17.73,0.03,R,CTIO-0.91 m, 
SN1990I,2448115.5,17.08,0.03,I,CTIO-0.91 m
SN1990I,2448125.5,19.32,0.05,B,CTIO-0.91 m
SN1990I,2448125.5,18.49,0.03,V,CTIO-0.91 m
SN1990I,2448125.5,17.86,0.03,R,CTIO-0.91 m
SN1990I,2448125.5,17.26,0.03,I,CTIO-0.91 m
SN1990I,2448218.5,20.47,0.1,V,CTIO-0.91m
SN1990I,2448236.5,22.26,0.3,B,CTIO-4.0 m, 
SN1990I,2448236.5,21.46,0.1,V,CTIO-4.0 m
SN1990I,2448236.5,19.98,0.03,R,CTIO-4.0 m
SN1990I,2448236.5,19.82,0.03,I,CTIO-4.0 m
SN1990I,2448239.5,21.11,0.1,V,ESO-1.54 m
SN1990I,2448239.5,20.04,0.1,R,ESO-1.54 m
SN1990I,2448240.5,21.32,0.1,V,CTIO-0.91 m
SN1990I,2448240.5,19.72,0.03,I,CTIO-0.91 m
SN1990I,2448246.5,21.34,0.1,V,ESO-3.6 m
SN1990I,2448253.5,22.42,0.3,B,CTIO-0.91 m, 
SN1990I,2448253.5,21.88,0.1,V,CTIO-0.91 m
SN1990I,2448253.5,20.60,0.1,R,CTIO-0.91 m
SN1990I,2448253.5,20.11,0.1,I,CTIO-0.91 m
SN1990I,2448272.5,21.02,0.1,R,CTIO-0.91 m
SN1990I,2448273.5,22.42,0.2,V,CTIO-0.91 m
SN1990I,2448273.5,21.15,0.1,R,CTIO-0.91 m
SN1990I,2448273.5,20.99,0.1,I,CTIO-0.91 m
SN1990I,2448300.5,23.28,0.35,B,CTIO-4.0 m
SN1990I,2448300.5,23.01,0.25,V,CTIO-4.0 m
SN1990I,2448300.5,21.70,0.1,R,CTIO-4.0 m
SN1990I,2448300.5,21.40,0.1,I,CTIO-4.0 m
SN1990I,2448308.5,22.90,0.35,B,ESO-3.6 m
SN1990I,2448308.5,22.90,0.25,V,ESO-3.6 m
SN1990I,2448308.5,21.85,0.1,R,ESO-3.6 m
SN1990I,2448308.5,21.56,0.1,I,ESO-3.6 m
SN1990I,2448356.5,23.37,0.25,R,CTIO-4.0 m
