event,jd,magnitude,e_magnitude,band,telescope
SN1990I,2448008.5,15.42,0.03,V,ESO-2.2 m
SN1990I,2448010.5,16.68,0.05,B,ESO-2.2 m
SN1990I,2448010.5,15.58,0.03,V,ESO-2.2 m
SN1990I,2448011.5,16.75,0.05,B,ESO-2.2 m
SN1990I,2448011.5,15.65,0.03,V,ESO-2.2 m
SN1990I,2448012.5,15.73,0.03,V,ESO-2.2 m
SN1990I,2448013.5,17.01,0.05,B,CTIO-0.91 m
SN1990I,2448013.5,15.80,0.03,V,CTIO-0.91 m
SN1990I,2448013.5,15.28,0.03,T,CTIO-0.91 m
SN1990I,2448021.5,17.35,0.05,B,ESO-NTT
SN1990I,2448021.5,16.18,0.03,V,ESO-NTT
SN1990I,2448021.5,15.60,0.03,R,ESO-NTT
SN1990I,2448025.5,17.65,0.05,B,CTIO-0.91 m
SN1990I,2448025.5,16.44,0.03,V,CTIO-0.91 m
SN1990I,2448025.5,15.87,0.03,R,CTIO-0.91 m
SN1990I,2448025.5,15.38,0.03,I,CTIO-0.91 m
SN1990I,2448029.5,16.50,0.03,V,ESO-NTT
SN1990I,2448029.5,17.85,0.05,B,ESO-NTT
SN1990I,2448029.5,16.78,0.03,V,ESO-NTT
SN1990I,2448050.5,18.18,0.05,B,CTIO-0.91 m
SN1990I,2448050.5,17.06,0.03,V,CTIO-0.91 m
SN1990I,2448050.5,16.55,0.03,R,CTIO-0.91 m
SN1990I,2448050.5,15.96,0.03,I,CTIO-0.91 m
SN1990I,2448054.5,18.22,0.05,B,CTIO-0.91 m
SN1990I,2448054.5,17.16,0.03,V,CTIO-0.91 m
SN1990I,2448054.5,16.60,0.03,R,CTIO-0.91 m
SN1990I,2448054.5,16.05,0.03,I,CTIO-0.91 m
SN1990I,2448058.5,18.26,0.05,B,CTIO-0.91 m
SN1990I,2448058.5,17.23,0.03,V,CTIO-0.91 m
SN1990I,2448058.5,16.71,0.03,R,CTIO-0.91 m
SN1990I,2448058.5,16.12,0.03,I,CTIO-0.91 m
SN1990I,2448061.5,18.27,0.05,B,ESO-1.54 m
SN1990I,2448061.5,17.26,0.03,V,ESO-1.54 m
SN1990I,2448061.5,16.75,0.03,R,ESO-1.54 m
SN1990I,2448061.5,16.13,0.03,I,ESO-1.54 m
SN1990I,2448062.5,18.24,0.05,B,ESO-1.54 m
SN1990I,2448062.5,17.27,0.03,V,ESO-1.54 m
SN1990I,2448062.5,16.72,0.03,R,ESO-1.54 m
SN1990I,2448063.5,18.34,0.05,B,CTIO-4.0 m
SN1990I,2448063.5,17.30,0.03,V,CTIO-4.0 m
SN1990I,2448063.5,16.83,0.03,R,CTIO-4.0 m
SN1990I,2448063.5,16.25,0.03,I,CTIO-4.0 m
SN1990I,2448067.5,18.40,0.05,B,CTIO-4.0 m
SN1990I,2448067.5,17.37,0.03,V,CTIO-4.0 m
SN1990I,2448067.5,16.92,0.03,R,CTIO-4.0 m
SN1990I,2448067.5,16.32,0.03,I,CTIO-4.0 m
SN1990I,2448071.5,18.44,0.05,B,CTIO-4.0 m
SN1990I,2448071.5,17.43,0.03,V,CTIO-4.0 m
SN1990I,2448071.5,16.97,0.03,R,CTIO-4.0 m
SN1990I,2448071.5,16.37,0.03,I,CTIO-4.0 m
SN1990I,2448076.5,18.53,0.05,B,CTIO-0.91 m
SN1990I,2448076.5,17.58,0.03,V,CTIO-0.91 m
SN1990I,2448076.5,17.09,0.03,R,CTIO-0.91 m
SN1990I,2448076.5,16.44,0.03,I,CTIO-0.91 m
