#event,time,magnitude,magnitude error,upper limit,band,instrument,telescope
SN2016jhr,2016/04/04,25.14,0.15,F,g,HSC,Subaru
SN2016jhr,2016/04/04,24.96,0.16,F,g,HSC,Subaru
SN2016jhr,2016/04/05,23.09,0.07,F,g,HSC,Subaru
SN2016jhr,2016/04/05,23.15,0.06,F,g,HSC,Subaru
SN2016jhr,2016/04/05,23.09,0.05,F,g,HSC,Subaru
SN2016jhr,2016/04/05,23.08,0.05,F,g,HSC,Subaru
SN2016jhr,2016/04/06,23.05,0.05,F,g,HSC,Subaru
SN2016jhr,2016/04/17,20.35,0.03,F,g,ARCTIC,ARC
SN2016jhr,2016/04/28,19.95,0.02,F,g,WFC,INT
SN2016jhr,2016/05/05,20.32,0.03,F,g,ALFOSC,NOT
SN2016jhr,2016/05/05,20.39,0.02,F,g,IO:O,LT
SN2016jhr,2016/05/11,20.89,0.03,F,g,IO:O,LT
SN2016jhr,2016/05/14,21.04,0.04,F,g,ARCTIC,ARC
SN2016jhr,2016/05/19,21.63,0.06,F,g,ALFOSC,NOT
SN2016jhr,2016/05/25,22.01,0.02,F,g,GMOS,Gemini-N
SN2016jhr,2016/05/28,22.41,0.08,F,g,IO:O,LT
SN2016jhr,2016/06/06,22.69,0.04,F,g,ALFOSC,NOT
SN2016jhr,2016/04/05,22.99,0.05,F,r,HSC,Subaru
SN2016jhr,2016/04/05,22.96,0.06,F,r,HSC,Subaru
SN2016jhr,2016/04/05,22.91,0.05,F,r,HSC,Subaru
SN2016jhr,2016/04/06,22.64,0.05,F,r,HSC,Subaru
SN2016jhr,2016/04/08,22.14,0.04,F,r,HSC,Subaru
SN2016jhr,2016/04/17,20.06,0.03,F,r,ARCTIC,ARC
SN2016jhr,2016/04/26,19.6,0.06,F,r,KWFC,Kiso
SN2016jhr,2016/04/28,19.64,0.01,F,r,WFC,INT
SN2016jhr,2016/05/05,19.81,0.02,F,r,ALFOSC,NOT
SN2016jhr,2016/05/05,19.73,0.01,F,r,IO:O,LT
SN2016jhr,2016/05/11,20.04,0.03,F,r,IO:O,LT
SN2016jhr,2016/05/14,20.15,0.02,F,r,ARCTIC,ARC
SN2016jhr,2016/05/19,20.42,0.02,F,r,ALFOSC,NOT
SN2016jhr,2016/05/25,20.67,0.02,F,r,GMOS,Gemini-N
SN2016jhr,2016/05/28,20.8,0.03,F,r,IO:O,LT
SN2016jhr,2016/06/06,21.21,0.04,F,r,ALFOSC,NOT
SN2016jhr,2016/04/28,19.84,0.01,F,i,WFC,INT
SN2016jhr,2016/05/05,20.04,0.02,F,i,ALFOSC,NOT
SN2016jhr,2016/05/05,20.01,0.02,F,i,IO:O,LT
SN2016jhr,2016/05/11,20.3,0.04,F,i,IO:O,LT
SN2016jhr,2016/05/14,20.29,0.02,F,i,ARCTIC,ARC
SN2016jhr,2016/05/19,20.32,0.04,F,i,ALFOSC,NOT
SN2016jhr,2016/05/28,20.55,0.03,F,i,IO:O,LT
SN2016jhr,2016/06/06,20.98,0.05,F,i,ALFOSC,NOT
SN2016jhr,2016/04/05,23.16,0.04,F,B,HSC,Subaru
SN2016jhr,2016/04/06,23.08,0.04,F,B,HSC,Subaru
SN2016jhr,2016/04/17,20.33,,F,B,ARCTIC,ARC
SN2016jhr,2016/04/26,19.93,,F,B,KWFC,Kiso
SN2016jhr,2016/04/28,19.98,,F,B,WFC,INT
SN2016jhr,2016/05/05,20.24,,F,B,ALFOSC,NOT
SN2016jhr,2016/05/05,20.29,,F,B,IO:O,LT
SN2016jhr,2016/05/11,20.77,,F,B,IO:O,LT
SN2016jhr,2016/05/14,20.97,,F,B,ARCTIC,ARC
SN2016jhr,2016/05/19,21.49,,F,B,ALFOSC,NOT
SN2016jhr,2016/05/25,21.93,,F,B,GMOS,Gemini-N
SN2016jhr,2016/05/28,22.17,,F,B,IO:O,LT
SN2016jhr,2016/06/06,22.68,,F,B,ALFOSC,NOT
SN2016jhr,2016/04/05,22.97,0.05,F,V,HSC,Subaru
SN2016jhr,2016/04/06,22.63,0.05,F,V,HSC,Subaru
SN2016jhr,2016/04/08,22.50,,F,V,HSC,Subaru
SN2016jhr,2016/04/17,20.06,,F,V,ARCTIC,ARC
SN2016jhr,2016/04/26,19.61,,F,V,KWFC,Kiso
SN2016jhr,2016/04/28,19.61,,F,V,WFC,INT
SN2016jhr,2016/05/05,19.76,,F,V,ALFOSC,NOT
SN2016jhr,2016/05/05,19.79,,F,V,IO:O,LT
SN2016jhr,2016/05/11,20.11,,F,V,IO:O,LT
SN2016jhr,2016/05/14,20.22,,F,V,ARCTIC,ARC
SN2016jhr,2016/05/19,20.43,,F,V,ALFOSC,NOT
SN2016jhr,2016/05/25,20.62,,F,V,GMOS,Gemini-N
SN2016jhr,2016/05/28,20.78,,F,V,IO:O,LT
SN2016jhr,2016/06/06,21.26,,F,V,ALFOSC,NOT
