#event,time,magnitude,magnitude error,upper limit,band,instrument,telescope
SN2012aw,2456010.35,12.5,0.04,F,U,,CAFOS
SN2012aw,2456011.36,12.55,0.08,F,U,,CAFOS
SN2012aw,2456013.36,12.74,0.07,F,U,,AFOSC
SN2012aw,2456015.39,12.84,0.06,F,U,,AFOSC
SN2012aw,2456048.55,15.43,0.02,F,U,,EFOSC2
SN2012aw,2456053.4,15.7,0.03,F,U,,ACAM
SN2012aw,2456074.38,16.56,0.05,F,U,,ALFOSC
SN2012aw,2456096.41,17.17,0.06,F,U,,ALFOSC
SN2012aw,2456116.4,17.62,0.05,F,U,,ALFOSC
SN2012aw,2456335.63,20.34,0.1,F,U,,ACAM
SN2012aw,2456004.41,13.79,0.01,F,B,,Munari
SN2012aw,2456005.57,13.52,0.05,F,B,,PROMPT
SN2012aw,2456006.71,13.47,0.12,F,B,,PROMPT
SN2012aw,2456006.41,13.6,0.01,F,B,,Munari
SN2012aw,2456006.44,13.54,0.08,F,B,,Asiago Schmidt
SN2012aw,2456007.57,13.47,0.11,F,B,,PROMPT
SN2012aw,2456007.31,13.53,0.06,F,B,,Asiago Schmidt
SN2012aw,2456008.57,13.38,0.05,F,B,,PROMPT
SN2012aw,2456008.31,13.41,0.05,F,B,,Asiago Schmidt
SN2012aw,2456009.58,13.42,0.02,F,B,,PROMPT
SN2012aw,2456009.31,13.42,0.04,F,B,,Asiago Schmidt
SN2012aw,2456010.54,13.36,0.02,F,B,,PROMPT
SN2012aw,2456010.35,13.43,0.02,F,B,,Asiago Schmidt
SN2012aw,2456010.35,13.35,0.02,F,B,,CAFOS
SN2012aw,2456010.36,13.39,0.03,F,B,,Asiago Schmidt
SN2012aw,2456011.54,13.38,0.03,F,B,,PROMPT
SN2012aw,2456011.36,13.32,0.03,F,B,,CAFOS
SN2012aw,2456013.36,13.43,0.06,F,B,,AFOSC
SN2012aw,2456014.44,13.43,0.03,F,B,,Asiago Schmidt
SN2012aw,2456015.53,13.51,0.04,F,B,,PROMPT
SN2012aw,2456015.39,13.5,0.02,F,B,,AFOSC
SN2012aw,2456016.51,13.48,0.02,F,B,,PROMPT
SN2012aw,2456016.37,13.46,0.03,F,B,,Asiago Schmidt
SN2012aw,2456017.57,13.61,0.09,F,B,,PROMPT
SN2012aw,2456018.43,13.53,0.02,F,B,,Asiago Schmidt
SN2012aw,2456020.32,13.58,0.07,F,B,,Asiago Schmidt
SN2012aw,2456042.43,14.41,0.03,F,B,,Asiago Schmidt
SN2012aw,2456043.4,14.41,0.04,F,B,,Asiago Schmidt
SN2012aw,2456043.49,14.43,0.01,F,B,,ALFOSC
SN2012aw,2456048.55,14.45,0.02,F,B,,EFOSC2
SN2012aw,2456050.57,14.54,0.04,F,B,,PROMPT
SN2012aw,2456053.4,14.72,0.02,F,B,,ACAM
SN2012aw,2456059.65,14.71,0.08,F,B,,PROMPT
SN2012aw,2456069.55,15.1,0.06,F,B,,PROMPT
SN2012aw,2456074.38,14.97,0.01,F,B,,ALFOSC
SN2012aw,2456096.41,15.19,0.02,F,B,,ALFOSC
SN2012aw,2456105.4,15.45,0.04,F,B,,ACAM
SN2012aw,2456111.48,15.31,0.12,F,B,,PROMPT
SN2012aw,2456115.49,15.45,0.04,F,B,,PROMPT
SN2012aw,2456116.4,15.47,0.03,F,B,,ALFOSC
SN2012aw,2456117.48,15.49,0.11,F,B,,PROMPT
SN2012aw,2456118.49,15.52,0.05,F,B,,PROMPT
SN2012aw,2456126.48,15.87,0.07,F,B,,PROMPT
SN2012aw,2456128.48,15.92,0.12,F,B,,PROMPT
SN2012aw,2456288.7,18.55,0.02,F,B,,ALFOSC
SN2012aw,2456335.63,18.98,0.03,F,B,,ACAM
SN2012aw,2456004.41,13.86,0.01,F,V,,Munari
SN2012aw,2456005.57,13.68,0.05,F,V,,PROMPT
SN2012aw,2456006.71,13.59,0.11,F,V,,PROMPT
SN2012aw,2456006.41,13.58,0.01,F,V,,Munari
SN2012aw,2456006.44,13.56,0.07,F,V,,Asiago Schmidt
SN2012aw,2456007.57,13.52,0.1,F,V,,PROMPT
SN2012aw,2456007.31,13.52,0.06,F,V,,Asiago Schmidt
SN2012aw,2456008.57,13.39,0.05,F,V,,PROMPT
SN2012aw,2456008.31,13.44,0.05,F,V,,Asiago Schmidt
SN2012aw,2456009.58,13.38,0.02,F,V,,PROMPT
SN2012aw,2456009.31,13.36,0.04,F,V,,Asiago Schmidt
SN2012aw,2456010.54,13.34,0.02,F,V,,PROMPT
SN2012aw,2456010.35,13.34,0.02,F,V,,Asiago Schmidt
SN2012aw,2456010.35,13.3,0.02,F,V,,CAFOS
SN2012aw,2456010.36,13.3,0.03,F,V,,Asiago Schmidt
SN2012aw,2456011.54,13.28,0.03,F,V,,PROMPT
SN2012aw,2456011.36,13.29,0.02,F,V,,CAFOS
SN2012aw,2456013.39,13.33,0.03,F,V,,Asiago Schmidt
SN2012aw,2456014.44,13.31,0.03,F,V,,Asiago Schmidt
SN2012aw,2456015.53,13.35,0.03,F,V,,PROMPT
SN2012aw,2456015.39,13.35,0.02,F,V,,AFOSC
SN2012aw,2456016.51,13.35,0.02,F,V,,PROMPT
SN2012aw,2456016.37,13.3,0.03,F,V,,Asiago Schmidt
SN2012aw,2456017.57,13.34,0.08,F,V,,PROMPT
SN2012aw,2456018.43,13.29,0.02,F,V,,Asiago Schmidt
SN2012aw,2456020.32,13.34,0.06,F,V,,Asiago Schmidt
SN2012aw,2456029.53,13.37,0.06,F,V,,PROMPT
SN2012aw,2456032.6,13.4,0.01,F,V,,PROMPT
SN2012aw,2456035.55,13.44,0.02,F,V,,PROMPT
SN2012aw,2456042.43,13.42,0.02,F,V,,Asiago Schmidt
SN2012aw,2456043.4,13.44,0.04,F,V,,Asiago Schmidt
SN2012aw,2456043.49,13.45,0.01,F,V,,ALFOSC
SN2012aw,2456048.55,13.46,0.02,F,V,,EFOSC2
SN2012aw,2456049.94,13.5,0.02,F,V,,PROMPT
