#event,jd,magnitude,magnitude error,upper limit,band,instrument,telescope
SN2001el,2452171.85,14.075,0.013,F,B,,YALO
SN2001el,2452171.85,13.808,0.009,F,V,,YALO
SN2001el,2452171.85,13.711,0.016,F,R,,YALO
SN2001el,2452171.85,13.742,0.015,F,I,,YALO
SN2001el,2452174.81,13.407,0.012,F,B,,YALO
SN2001el,2452174.81,13.258,0.008,F,V,,YALO
SN2001el,2452174.81,13.111,0.015,F,R,,YALO
SN2001el,2452174.81,13.120,0.014,F,I,,YALO
SN2001el,2452177.84,13.032,0.015,F,B,,YALO
SN2001el,2452177.84,12.927,0.010,F,V,,YALO
SN2001el,2452177.84,12.768,0.024,F,R,,YALO
SN2001el,2452177.84,12.838,0.016,F,I,,YALO
SN2001el,2452178.82,12.753,0.045,F,U,,CTIO 0.9 m
SN2001el,2452178.82,12.932,0.023,F,B,,CTIO 0.9 m
SN2001el,2452178.82,12.899,0.014,F,V,,CTIO 0.9 m
SN2001el,2452179.81,12.708,0.043,F,U,,CTIO 0.9 m
SN2001el,2452179.81,12.887,0.026,F,B,,CTIO 0.9 m
SN2001el,2452179.81,12.868,0.015,F,V,,CTIO 0.9 m
SN2001el,2452183.84,12.871,0.019,F,B,,YALO
SN2001el,2452183.84,12.686,0.010,F,V,,YALO
SN2001el,2452183.84,12.622,0.045,F,R,,YALO
SN2001el,2452183.84,12.885,0.016,F,I,,YALO
SN2001el,2452183.86,12.765,0.027,F,U,,CTIO 0.9 m
SN2001el,2452183.86,12.850,0.013,F,B,,CTIO 0.9 m
SN2001el,2452183.86,12.753,0.008,F,V,,CTIO 0.9 m
SN2001el,2452184.88,12.824,0.029,F,U,,CTIO 0.9 m
SN2001el,2452184.88,12.867,0.013,F,B,,CTIO 0.9 m
SN2001el,2452184.88,12.755,0.007,F,V,,CTIO 0.9 m
SN2001el,2452186.80,12.966,0.009,F,B,,YALO
SN2001el,2452186.80,12.724,0.004,F,V,,YALO
SN2001el,2452186.80,12.624,0.009,F,R,,YALO
SN2001el,2452186.80,12.954,0.008,F,I,,YALO
SN2001el,2452189.74,13.418,0.019,F,U,,CTIO 1.5 m
SN2001el,2452189.74,13.157,0.014,F,B,,CTIO 1.5 m
SN2001el,2452189.74,12.810,0.013,F,V,,CTIO 1.5 m
SN2001el,2452189.74,12.729,0.015,F,R,,CTIO 1.5 m
SN2001el,2452189.74,13.115,0.015,F,I,,CTIO 1.5 m
SN2001el,2452189.76,13.392,0.019,F,U,,CTIO 1.5 m
SN2001el,2452189.76,13.160,0.014,F,B,,CTIO 1.5 m
SN2001el,2452189.76,12.812,0.013,F,V,,CTIO 1.5 m
SN2001el,2452189.76,12.730,0.015,F,R,,CTIO 1.5 m
SN2001el,2452189.76,13.119,0.015,F,I,,CTIO 1.5 m
SN2001el,2452189.83,13.193,0.007,F,B,,YALO
SN2001el,2452189.83,12.784,0.004,F,V,,YALO
SN2001el,2452189.83,12.738,0.010,F,R,,YALO
SN2001el,2452189.83,13.073,0.008,F,I,,YALO
SN2001el,2452189.85,13.428,0.019,F,U,,CTIO 1.5 m
SN2001el,2452189.85,13.171,0.014,F,B,,CTIO 1.5 m
SN2001el,2452189.85,12.831,0.013,F,V,,CTIO 1.5 m
SN2001el,2452189.85,12.736,0.015,F,R,,CTIO 1.5 m
SN2001el,2452189.85,13.113,0.015,F,I,,CTIO 1.5 m
SN2001el,2452190.72,13.507,0.019,F,U,,CTIO 1.5 m
SN2001el,2452190.72,13.230,0.014,F,B,,CTIO 1.5 m
SN2001el,2452190.72,12.834,0.013,F,V,,CTIO 1.5 m
SN2001el,2452190.72,12.772,0.015,F,R,,CTIO 1.5 m
SN2001el,2452190.72,13.211,0.015,F,I,,CTIO 1.5 m
SN2001el,2452190.85,13.545,0.019,F,U,,CTIO 1.5 m
SN2001el,2452190.85,13.266,0.014,F,B,,CTIO 1.5 m
SN2001el,2452190.85,12.859,0.013,F,V,,CTIO 1.5 m
SN2001el,2452190.85,12.798,0.015,F,R,,CTIO 1.5 m
SN2001el,2452190.85,13.207,0.015,F,I,,CTIO 1.5 m
SN2001el,2452191.72,13.643,0.019,F,U,,CTIO 1.5 m
SN2001el,2452191.72,13.331,0.014,F,B,,CTIO 1.5 m
SN2001el,2452191.72,12.879,0.013,F,V,,CTIO 1.5 m
SN2001el,2452191.72,12.835,0.015,F,R,,CTIO 1.5 m
SN2001el,2452191.72,13.240,0.015,F,I,,CTIO 1.5 m
SN2001el,2452191.85,13.669,0.019,F,U,,CTIO 1.5 m
SN2001el,2452191.85,13.353,0.014,F,B,,CTIO 1.5 m
SN2001el,2452191.85,12.901,0.013,F,V,,CTIO 1.5 m
SN2001el,2452191.85,12.864,0.015,F,R,,CTIO 1.5 m
SN2001el,2452191.85,13.278,0.015,F,I,,CTIO 1.5 m
SN2001el,2452192.83,13.453,0.016,F,B,,YALO
SN2001el,2452192.83,12.906,0.011,F,V,,YALO
SN2001el,2452192.83,12.909,0.018,F,R,,YALO
SN2001el,2452192.83,13.259,0.016,F,I,,YALO
SN2001el,2452192.85,13.765,0.019,F,U,,CTIO 1.5 m
SN2001el,2452192.85,13.425,0.014,F,B,,CTIO 1.5 m
SN2001el,2452192.85,12.924,0.013,F,V,,CTIO 1.5 m
SN2001el,2452192.85,12.902,0.015,F,R,,CTIO 1.5 m
SN2001el,2452192.85,13.331,0.015,F,I,,CTIO 1.5 m
SN2001el,2452193.72,13.881,0.019,F,U,,CTIO 1.5 m
SN2001el,2452193.72,13.542,0.014,F,B,,CTIO 1.5 m
SN2001el,2452193.72,12.981,0.013,F,V,,CTIO 1.5 m
SN2001el,2452193.72,12.969,0.015,F,R,,CTIO 1.5 m
SN2001el,2452193.72,13.368,0.015,F,I,,CTIO 1.5 m
