MEN1,NA,MEN1
GBA2,NA,GBA2
PRR12,NA,PRR12
EDNRB,NA,EDNRB
TECTB,NA,TECTB
PHRF1,NA,PHRF1
ATXN3,NA,ATXN3
SMS,NA,SMS
AKAP10,NA,AKAP10
MDK,NA,MDK
AK2,NA,AK2
APOBEC3A,NA,APOBEC3A
TAS2R3,NA,TAS2R3
FER,NA,FER
STRA8,NA,STRA8
ARRDC3,NA,ARRDC3
TCTA,NA,TCTA
ARFGAP1,NA,ARFGAP1
SHF,NA,SHF
GALNT1,NA,GALNT1
SRRT,NA,SRRT
AHI1,NA,AHI1
PRPF40B,NA,PRPF40B
TBX15,NA,TBX15
DLST,NA,DLST
ARX,NA,ARX
SMEK1,NA,SMEK1
HAPLN1,NA,HAPLN1
USP6,NA,USP6
SOX4,NA,SOX4
SCN2A,NA,SCN2A
EDF1,NA,EDF1
TCP11,NA,TCP11
DDX24,NA,DDX24
FKBP15,NA,FKBP15
CAPRIN2,NA,CAPRIN2
MAP3K9,NA,MAP3K9
C6orf94,NA,C6orf94
IL12RB2,NA,IL12RB2
CCDC92,NA,CCDC92
PSD2,NA,PSD2
DLGAP5,NA,DLGAP5
CLCN7,NA,CLCN7
CLCN6,NA,CLCN6
KCNAB2,NA,KCNAB2
USP35,NA,USP35
CSRP2BP,NA,CSRP2BP
SLC31A1,NA,SLC31A1
ACSBG2,NA,ACSBG2
NOP16,NA,NOP16
UBAP2L,NA,UBAP2L
C16orf80,NA,C16orf80
BICC1,NA,BICC1
PIK3IP1,NA,PIK3IP1
NKAIN4,NA,NKAIN4
TRPM2,NA,TRPM2
HEMGN,NA,HEMGN
PAX6,NA,PAX6
ATG14,NA,ATG14
PRTFDC1,NA,PRTFDC1
LRCH4,NA,LRCH4
CPXM1,NA,CPXM1
CD82,NA,CD82
PDHA1,NA,PDHA1
ADAM20,NA,ADAM20
TRAFD1,NA,TRAFD1
C2orf3,NA,C2orf3
C8B,NA,C8B
ANKRD12,NA,ANKRD12
CALCOCO1,NA,CALCOCO1
DPP8,NA,DPP8
NRCAM,NA,NRCAM
DENND2A,NA,DENND2A
DSC2,NA,DSC2
OAS2,NA,OAS2
IREB2,NA,IREB2
C20orf27,NA,C20orf27
MRPS5,NA,MRPS5
UBR4,NA,UBR4
DARS2,NA,DARS2
HSD11B1,NA,HSD11B1
ACRBP,NA,ACRBP
KBTBD4,NA,KBTBD4
PREX2,NA,PREX2
SLC5A10,NA,SLC5A10
C9orf100,NA,C9orf100
FGF9,NA,FGF9
EPHA2,NA,EPHA2
ANKRD60,NA,ANKRD60
PDCD4,NA,PDCD4
RAP2A,NA,RAP2A
SLC13A5,NA,SLC13A5
TCEAL4,NA,TCEAL4
WDR91,NA,WDR91
RSG1,NA,RSG1
MTERF,NA,MTERF
NHP2P1,NA,NHP2P1
CAND2,NA,CAND2
GTF2H1,NA,GTF2H1
USP11,NA,USP11
