No	name	host	redshift	ra	dec
1	J030257	SDSS J030257.14-082942.9	0.1056	03:02:57.14	-08:29:42.9
2	J091225	SDSS J091225.01+061014.8	0.1453	09:12:25.01	+06:10:14.8
3	J100933	SDSS J100933.14+232255.8	0.0719	10:09:33.14	+23:22:55.8
4	J113527	SDSS J113527.29+392810.7	0.1084	11:35:27.29	+39:28:10.7
5	J121116	SDSS J121116.47+001345.3	0.0763	12:11:16.47	+00:13:45.3
6	J123715	SDSS J123715.10+601207.0	0.2164	12:37:15.10	+60:12:07.0
7	J130819	SDSS J130819.12+434525.6	0.0365	13:08:19.12	+43:45:25.6
8	J133737	SDSS J133737.13+202351.7	0.0725	13:37:37.13	+20:23:51.7
9	J133837	SDSS J133837.60+573113.2	0.1269	13:38:37.60	+57:31:13.2
10	J134244	SDSS J134244.41+053056.2	0.0365	13:42:44.41	+05:30:56.2
11	J141036	SDSS J141036.81+265425.0	0.1071	14:10:36.81	+26:54:25.0
12	J142401	SDSS J142401.66+295028.4	0.0855	14:24:01.66	+29:50:28.4
13	J145851	SDSS J145851.65+175057.9	0.1165	14:58:51.65	+17:50:57.9
14	J155223	SDSS J155223.29+323455.1	0.1277	15:52:23.29	+32:34:55.1
